5.1989 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.8181 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000141BA872BE0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000141BA872B80>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000141BA8729A0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000141BAE79B20>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8183 	EXP 	window1: mouseVisible = True
5.8184 	EXP 	window1: backgroundImage = ''
5.8184 	EXP 	window1: backgroundFit = 'none'
5.8217 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.8217 	EXP 	window1: recordFrameIntervals = False
5.9830 	EXP 	window1: recordFrameIntervals = True
6.1669 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
6.1671 	EXP 	window1: recordFrameIntervals = False
6.1674 	EXP 	window1: mouseVisible = False
8.3556 	EXP 	tarea_iceberg: status = STARTED
8.3578 	EXP 	window1: mouseVisible = True
8.5188 	EXP 	window1: mouseVisible = True
8.5318 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.35, 0.35]), texRes=128.0, units='height', win=Window(...))
0.0096 	EXP 	movie: autoLog = True
0.0166 	EXP 	Imported imgs/trials_iceberg.xlsx as conditions, 15 conditions, 3 params
0.0173 	EXP 	Created sequence: sequential, trialTypes=15, nReps=1, seed=None
0.0175 	EXP 	New trial (rep=0, index=0): {'timepresentation': 3, 'posx': -1, 'posy': 0.2}
0.0902 	EXP 	image: image = 'imgs/iceberg.png'
0.0902 	EXP 	movie: autoDraw = True
3.0042 	EXP 	image: autoDraw = True
6.5279 	EXP 	New trial (rep=0, index=1): {'timepresentation': 3, 'posx': -0.9, 'posy': 0.2}
6.5859 	EXP 	movie: autoDraw = False
6.5859 	EXP 	image: autoDraw = False
6.5859 	EXP 	image: image = 'imgs/iceberg.png'
6.5859 	EXP 	movie: autoDraw = True
9.5300 	EXP 	image: autoDraw = True
10.7924 	EXP 	New trial (rep=0, index=2): {'timepresentation': 3, 'posx': -0.8, 'posy': 0.2}
10.8469 	EXP 	movie: autoDraw = False
10.8469 	EXP 	image: autoDraw = False
10.8469 	EXP 	image: image = 'imgs/iceberg.png'
10.8469 	EXP 	movie: autoDraw = True
13.7945 	EXP 	image: autoDraw = True
17.6557 	EXP 	New trial (rep=0, index=3): {'timepresentation': 3, 'posx': -0.7, 'posy': 0.2}
17.7114 	EXP 	movie: autoDraw = False
17.7114 	EXP 	image: autoDraw = False
17.7114 	EXP 	image: image = 'imgs/iceberg.png'
17.7114 	EXP 	movie: autoDraw = True
20.6566 	EXP 	image: autoDraw = True
21.6829 	EXP 	New trial (rep=0, index=4): {'timepresentation': 3, 'posx': -0.6, 'posy': 0.2}
21.7389 	EXP 	movie: autoDraw = False
21.7389 	EXP 	image: autoDraw = False
21.7389 	EXP 	image: image = 'imgs/iceberg.png'
21.7389 	EXP 	movie: autoDraw = True
24.6872 	EXP 	image: autoDraw = True
25.7878 	EXP 	New trial (rep=0, index=5): {'timepresentation': 3, 'posx': -0.5, 'posy': 0.2}
25.8462 	EXP 	movie: autoDraw = False
25.8462 	EXP 	image: autoDraw = False
