routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,text_3.stopped,instructions4.stopped,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021779999951831996,0.013231899996753782,0.013231899996753782,3.010491099994397,3.0105084999959217,3.0263768999866443,6.00820099998964,8.773935799996252,space,2.7567875999957323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
music_video,,,,0,0,0,3,,,,,,,,,,,,,,,,,8.80890439999348,,,,,,,,,,,,,8.78005299999495,8.780065799990552,music_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
music,,,,0,1,1,1,,,,,,,,,,,,,,,,,8.80890439999348,,,,,,,,,,,,,8.780137099995045,8.78015449999657,music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
music_words,,,,0,2,2,2,,,,,,,,,,,,,,,,,8.80890439999348,,,,,,,,,,,,,8.780218899992178,8.780224099988118,music_words,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
control,,,,0,3,3,0,,,,,,,,,,,,,,,,,8.80890439999348,,,,,,,,,,,,,8.7802745999943,8.780279499987955,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
,13,0.9,0.1,,,,,0,0,0,0,,,,,,,,,,,,,8.80890439999348,,,,,,,,,,,,,,,,8.786917699995684,21.7842770999996,21.7842770999996,22.14760829998704,space,0.33492609999666456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
,7,-0.8,0.15,,,,,0,1,1,1,,,,,,,,,,,,,22.1618129999988,,,,,,,,,,,,,,,,22.148235099986778,29.162776999990456,29.162776999990456,29.597132899987628,space,0.4106525999959558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
,7,-0.8,0.15,,,,,,,,,0,0,0,1,,,,,,,,,30.866264499985846,,,,,,,,,,,,,,,,,,,,,,,29.59749179999926,29.603977699996904,30.866264499985846,30.592681399997673,30.6008487999934,37.59643789999245,37.59643789999245,37.96026019999408,space,0.3435624999983702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
,13,0.9,0.1,,,,,,,,,0,1,1,0,,,,,,,,,37.974946299989824,,,,,,,,,,,,,,,,,,,,,,,,,,,37.960884599990095,50.95065629998862,50.95065629998862,51.34546369999589,space,0.3672419000067748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
,13,0.9,0.1,,,,,,,,,,,,,0,0,0,0,,,,,52.62309219999588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36886219998996,51.37476059999608,52.62309219999588,52.36303529998986,52.37172849998751,65.38046570000006,65.38046570000006,66.03954739999608,space,0.650641700005508,None,,,,,,,,,,,,,,,,487117,896373,Hombre,2024-08-30_12h16.06.639,tarea_iceberg,2023.2.3,59.98192144912682,2024-08-30 12h16.19.331593 +0200,
