routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,text_7.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002324799992493354,0.013359199991100468,0.013359199991100468,3.00437109998893,3.0043865999905393,3.020039499999257,6.001510499991127,6.236434399994323,space,0.22792929998831823,None,,,,,,,,,,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,15,-0.8,0.15,0,0,0,0,0,0,0,1,,,,,,,,,,,,,8.292621399989002,,,,,,,,,,,,,6.243324899987783,6.243368699986604,music,6.243377699996927,6.252310599986231,8.249860699987039,8.258291299993289,8.264068699994823,None,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,4,0.7,0.1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,8.292621399989002,,,,,,,,,,,,,,,,,,,8.26431529999536,8.2692274999863,None,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,15,-0.8,0.15,0,0,0,0,,,,,0,0,0,1,,,,,,,,,8.292621399989002,,,,,,,,,,,,,,,,,,,,,,8.279106399990269,23.277192199995625,23.277192199995625,23.671443499988527,space,0.3793471000099089,None,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,4,0.7,0.1,0,0,0,0,,,,,0,1,1,0,,,,,,,,,23.70545239999774,,,,,,,,,,,,,,,,,,,,,,23.67185129999416,27.673961999986204,27.673961999986204,28.04195709999476,space,0.3523132000118494,None,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,4,0.7,0.1,0,0,0,0,,,,,,,,,0,0,0,0,,,,,28.169937799990294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.068703599987202,28.07400909998978,None,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,15,-0.8,0.15,0,0,0,0,,,,,,,,,0,1,1,1,,,,,28.169937799990294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.074242399990908,28.078380899998592,None,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,15,-0.5,0.15,0,0,0,0,,,,,,,,,,,,,0,0,0,0,28.169937799990294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.106721499993,28.112305499991635,None,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,13,0.8,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,1,28.169937799990294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.112537399996654,28.116615199993248,None,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music_words,15,0.5,0.1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,28.169937799990294,,,,,,,,,,,,,28.161206899996614,28.161242499991204,music_words,28.16124729999865,28.169937799990294,30.1536519999936,30.161887599999318,30.167143599988776,None,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
music_words,15,-0.5,0.15,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.167360599996755,30.171764299986535,None,,,,,,,,,,,,,,,535094,759045,Hombre,2024-08-30_13h02.52.505,tarea_iceberg,2023.2.3,59.98757057151896,2024-08-30 13h03.05.942984 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1793028999964,,,,,,,,,,,,,,,,,,,,,,
