timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004872799967415631,0.023110800073482096,0.023110800073482096,3.010949600022286,3.0109612999949604,3.026835500029847,6.013529499992728,6.964705300051719,space,0.9394406999927014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
7,-0.7,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,6.964725699974224,6.980065500014462,8.966062600025907,9.01731310004834,9.022768300026655,None,,,,,,,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
14,-0.3,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,9.023048300063238,9.027370500029065,None,,,,,,,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
7,-0.7,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,,,,9.039805500069633,9.044168899999931,None,,,,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
14,-0.3,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,,,,9.044383400003426,9.04861689999234,None,,,,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
14,-0.3,0.1,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,,,,,,,9.086204100050963,9.093127200030722,None,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
7,-0.7,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,,,,,,,9.093370600021444,9.097889599972405,None,,,,,,,,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
10,0.1,0.1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,9.158008700003847,,,,,,,,,,,,,,,,,,,,,,,,,9.136169400066137,19.127922000014223,19.127922000014223,21.565016200067475,space,2.4256687000161037,None,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
7,-0.5,0.1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,21.588540200027637,,,,,,,,,,,,,,,,,,,,,,,,,21.565373899997212,28.56846920005046,28.56846920005046,39.01732720003929,space,10.440799599979073,None,,,,,,,,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
13,-0.3,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,41.693726300029084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05416040006094,39.064512200071476,41.693726300029084,41.048079999978654,41.062064700061455,41.0679775000317,None,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
4,-0.6,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,41.693726300029084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.068234300008044,41.072513599996455,None,,,,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
4,-0.6,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,41.693726300029084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.08579529996496,41.09033440006897,None,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
13,-0.3,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,41.693726300029084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09055820002686,41.09468680003192,None,,539786,282812,Hombre,2024-09-18_13h57.22.865,tarea_iceberg,2023.2.3,60.374369358465536,2024-09-18 13h57.49.078323 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.693726300029084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.13528779998887,,,,,,,,,
