routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.00227650000306312,0.013875399992684834,0.013875399992684834,3.0041497999918647,3.0041728999931365,3.01945049999631,6.001457699996536,8.001638000001549,space,1.9858629000082146,None,,,,,,,,,,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,8,-0.8,0.15,0,0,0,1,0,0,0,0,,,,,,,,,,,,,10.059447299994645,,,,,,,,,,,,,8.006817600005888,8.006827899997006,music,8.006835099993623,8.01630619999196,10.01498829999764,10.02428549999604,10.031287399993744,None,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,6,0.8,0.1,0,0,0,1,0,1,1,1,,,,,,,,,,,,,10.059447299994645,,,,,,,,,,,,,,,,,,,10.031547499995213,10.03715619999275,None,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,8,-0.8,0.15,0,0,0,1,,,,,0,0,0,0,,,,,,,,,10.059447299994645,,,,,,,,,,,,,,,,,,,,,,10.045710899998085,18.04600629999186,18.04600629999186,18.669353799996316,space,0.6214698999974644,None,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,6,0.8,0.1,0,0,0,1,,,,,0,1,1,1,,,,,,,,,18.681838399992557,,,,,,,,,,,,,,,,,,,,,,18.669690900002024,24.675503099992056,24.675503099992056,25.05552579999494,space,0.3629791999992449,None,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,6,0.8,0.1,0,0,0,1,,,,,,,,,0,0,0,1,,,,,25.191091699991375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.08862140000565,25.093486700003268,None,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,8,-0.8,0.15,0,0,0,1,,,,,,,,,0,1,1,0,,,,,25.191091699991375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.093749499996193,25.097815999994054,None,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,13,0.9,0.1,0,0,0,1,,,,,,,,,,,,,0,0,0,1,25.191091699991375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.12750539999979,25.13332039999659,None,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,6,-0.6,0.15,0,0,0,1,,,,,,,,,,,,,0,1,1,0,25.191091699991375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.133553899999242,25.137720300001092,None,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music_words,15,0.8,0.1,0,1,1,2,0,0,0,0,,,,,,,,,,,,,25.191091699991375,,,,,,,,,,,,,25.181406999996398,25.18142340000486,music_words,25.181428900003084,25.191091699991375,27.187927499995567,27.19601159999729,27.201067999994848,None,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
music_words,6,0.7,0.1,0,1,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.20130820000486,27.205219499999657,None,,,,,,,,,,,,,,555280,179183,Hombre,2024-08-30_12h31.52.091,tarea_iceberg,2023.2.3,60.253595334070546,2024-08-30 12h32.02.573471 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.212525399998412,,,,,,,,,,,,,,,,,,,,,
