timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,image_16.started,key_resp_14.started,music_words4.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005523000028915703,0.019692900008521974,0.019692900008521974,3.0069142000284046,3.0069290000246838,3.0232667999807745,6.009193000034429,8.363078900030814,space,2.337887499947101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,-0.6,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,8.363117600092664,8.378716300008819,10.364107300061733,10.403535500052385,10.409132400061935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.7,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,10.409355400013737,10.413642200059257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,-0.6,0.15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,,,,10.421307799988426,10.425847499980591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.7,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,,,,10.426076600095257,10.430311200092547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,-0.6,0.15,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,,,,,,,10.462619199999608,10.469991800026037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.7,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,,,,,,,10.470269600045867,10.474393800017424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
12,0.8,0.1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.515240799984895,,,,,,,,,,,,,,,,,,,,,,,,,10.501105700037442,22.508989399997517,22.508989399997517,23.46617020003032,space,0.9561946999747306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
9,0.9,0.1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.481254699989222,,,,,,,,,,,,,,,,,,,,,,,,,23.466557300067507,32.469094400061294,32.469094400061294,33.126676200074144,space,0.6367778000421822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
11,0.6,0.1,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.483070800080895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17437100003008,33.18349279998802,35.483070800080895,35.172597000026144,35.17988100007642,35.1847650000127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558702,719843,Hombre,2024-09-18_13h04.30.525,tarea_iceberg,2023.2.3,59.7160382875875,2024-09-18 13h04.57.259747 +0200,
