routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,image_3.started,key_resp_3.started,key_resp_3.rt,key_resp_3.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024574999988544732,0.014921699999831617,0.014921699999831617,3.0046757999953115,3.0047281999868574,3.0206127999990713,6.001427299997886,6.786445499994443,space,0.7727457000000868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,3,-0.8,0.15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,25.369712799991248,,,,,,,,,,,,,6.793828299996676,6.7939320000004955,music_video,6.7939449999976205,6.802341799993883,8.800823999990826,8.812452399986796,9.421635699996841,None,,,,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,14,0.9,0.1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,25.369712799991248,,,,,,,,,,,,,,,,,,,9.42209819999698,10.05255279999983,None,,,,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,14,0.9,0.1,0,0,0,0,,,,,0,0,0,1,,,,,,,,,25.369712799991248,,,,,,,,,,,,,,,,,,,,,,10.09634649999498,12.191762899994501,None,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,3,-0.8,0.15,0,0,0,0,,,,,0,1,1,0,,,,,,,,,25.369712799991248,,,,,,,,,,,,,,,,,,,,,,12.19214979998651,14.38156209999579,None,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,3,-0.8,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,25.369712799991248,,,,,,,,,,,,,,,,,,,,,,,,,14.503039699993678,17.75199769999017,None,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,14,0.9,0.1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,25.369712799991248,,,,,,,,,,,,,,,,,,,,,,,,,17.752297200000612,20.920519799998146,None,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,7,-0.8,0.15,0,0,0,0,,,,,,,,,,,,,0,0,0,0,25.369712799991248,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.016102099994896,27.95876049999788,27.95876049999788,28.947173399996245,space,0.982084200004465,None,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,11,0.9,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,1,29.318147999991197,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.94762649999757,39.950826899992535,39.950826899992535,40.38159159998759,space,0.40375579999818,None,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
music_video,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569708,888600,Hombre,2024-08-30_16h46.59.294,tarea_iceberg,2023.2.3,60.353016868617935,2024-08-30 16h47.10.254162 +0200,
