routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023535999935120344,0.013417599999229424,0.013417599999229424,3.009502600005362,3.0095192000007955,3.0255662999989,6.006987899992964,6.758994300005725,space,0.7370626000047196,None,,,,,,,,,,,,,,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,12,0.8,0.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,8.79315470000438,,,,,,,,,,,,,6.765401700002258,6.765431299994816,control,6.765438100002939,6.773413200004143,8.771727900006226,8.780038900004001,20.767086199994083,20.767086199994083,21.262663500005146,space,0.479468799996539,None,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,11,-0.8,0.15,0,0,0,0,0,1,1,1,,,,,,,,,,,,,21.275841700000456,,,,,,,,,,,,,,,,,,,21.263185499992687,32.27641950000543,32.27641950000543,32.73712479999813,space,0.4521938000107184,None,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,12,0.8,0.1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,32.74527390000003,32.75019190000603,None,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,11,-0.8,0.15,0,0,0,0,,,,,0,1,1,1,,,,,,,,,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,32.75042700000631,32.75461910000013,None,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,11,-0.8,0.15,0,0,0,0,,,,,,,,,0,0,0,1,,,,,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.78175049999845,32.79238030000124,None,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,12,0.8,0.1,0,0,0,0,,,,,,,,,0,1,1,0,,,,,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.792685199994594,32.79893930000253,None,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,14,-0.6,0.15,0,0,0,0,,,,,,,,,,,,,0,0,0,0,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83096819999628,32.838454400000046,None,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,3,0.5,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,1,32.91025469999295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8387689999945,32.84463799999503,None,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
control,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
music,8,-0.7,0.15,0,1,1,1,0,0,0,0,,,,,,,,,,,,,32.91025469999295,,,,,,,,,,,,,32.90336280000338,32.90340490000381,music,32.90340979999746,32.91025469999295,34.905128099999274,34.91351779999968,,,34.918613300003926,None,,,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
music,13,0.7,0.1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.91887989999668,,,34.92339609999908,None,,,,,,,,,,,,602804,319301,Hombre,2024-08-30_12h58.15.929,tarea_iceberg,2023.2.3,60.08355218561544,2024-08-30 12h58.26.897627 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93055649999587,,,,,,,,,,,,,,,,,
