timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024516999983461574,0.02066529999137856,0.02066529999137856,3.008485300000757,3.0085020999977132,3.0248259999934817,6.010502999997698,6.311537599991425,space,0.2948115000035614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
12,-0.6,0.15,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33882900000026,,,,,,,,,,,,,6.311564200004796,6.327317399991443,8.312991500002681,8.324018200000864,20.308214099990437,20.308214099990437,21.047502300003543,space,0.7340890000050422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
13,-0.6,0.15,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.07444250000117,,,,,,,,,,,,,,,,21.047985199998948,34.056702599991695,34.056702599991695,34.51391199999489,space,0.44819370000914205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
12,-0.6,0.15,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,34.52611109999998,34.53436969999166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
13,-0.6,0.15,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,34.53465570000117,34.540190300001996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
13,-0.6,0.15,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,,,,34.57596560000093,34.582218499999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
12,-0.6,0.15,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,,,,34.58248480000475,34.588260199991055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
15,-0.8,0.15,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.62490609999804,34.63227709999774,None,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
15,0.8,0.1,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,34.685651799998595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63257919999887,34.63831179999397,None,,,,,,,,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
14,-0.5,0.15,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,37.25446090000332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.67483409999113,34.685651799998595,37.25446090000332,36.67524109999067,36.68506289999641,36.691740199996275,None,,,,,,,,,,,,,,,,,,609203,484231,Hombre,2024-09-10_09h59.08.040,tarea_iceberg,2023.2.3,59.86672469844305,2024-09-10 09h59.25.288552 +0200,
