timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,image_5.stopped,text_6.stopped,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,image_9.started,Key_resp.started,music_video2.stopped,Key_resp.keys,Key_resp.rt,Key_resp.duration,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002075600001262501,0.013209700002335012,0.013209700002335012,3.0149116999964463,3.0149116999964463,2.9993706999957794,2.9993923000001814,3.0149116999964463,6.012806400001864,6.530911699999706,space,0.5021571999968728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
7,0.8,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.584057300002314,,,,,,,,,,,,,,,6.530945899998187,6.545790599993779,8.544960300001549,8.555112599991844,8.560606300001382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
12,0.5,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.584057300002314,,,,,,,,,,,,,,,,,,8.560892599998624,8.564886599997408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
12,0.5,0.1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,8.584057300002314,,,,,,,,,,,,,,,,,,,,,8.571902199997567,20.573206000000937,20.573206000000937,20.925777800002834,space,0.33802390001073945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
7,0.8,0.1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,20.948565699989558,,,,,,,,,,,,,,,,,,,,,20.926126199992723,27.935492499993416,27.935492499993416,28.3195185999939,space,0.37070599998696707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
7,0.8,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,28.462701199998264,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.34954499999003,28.355086499999743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
12,0.5,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,28.462701199998264,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.355317900000955,28.359323299999232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
12,-0.8,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,28.462701199998264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.399992499995278,28.405925500002922,None,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
7,-0.5,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,28.462701199998264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.406146399996942,28.410114199999953,None,,,,,,,,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
3,0.5,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,30.958238299994264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.452499899998656,28.462701199998264,30.958238299994264,30.448120699991705,30.45737659999577,30.462329299989506,None,,,,,,,,,,,,,,,,,621470,428750,Hombre,2024-08-30_18h02.15.253,tarea_iceberg,2023.2.3,59.90997926145092,2024-08-30 18h02.29.345919 +0200,
