timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,instructions4.stopped,music_video.started,music_video.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.7,0.15,0,0,0,1,,,,,,,,,,,,,0.04989750000095228,,0.008194400001229951,0.04989750000095228,2.0168634000001475,2.0168634000001475,2.4489250000005995,space,0.41707319999841275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
2,-0.8,0.15,0,1,1,0,,,,,,,,,,,,,2.6303781000005984,,2.575992400001269,2.6303781000005984,4.578804800001308,4.578804800001308,4.864528699999937,space,0.2734433999994508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
2,-0.8,0.15,,,,,0,0,0,0,,,,,,,,,8.015668400001232,,,,,,,,,,4.997558900000513,5.001837400001023,8.015668400001232,7.9908940000004804,7.995007700001224,8.015668400001232,10.009553300000334,10.009553300000334,10.44310730000143,space,0.42216240000016114,None,,,,,,,,,,,,,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
2,-0.7,0.15,,,,,0,1,1,1,,,,,,,,,10.60454320000099,,,,,,,,,,,,,,10.550123700000768,10.60454320000099,12.557922600000893,12.557922600000893,12.841896200001429,space,0.26646289999916917,None,,,,,,,,,,,,,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
2,-0.8,0.15,,,,,,,,,0,0,0,0,,,,,14.046093500001007,,,,,,,,,,,,,,,,,,,,,,13.003433500000028,13.006790500001443,14.046093500001007,14.003857200001221,14.008294600000227,14.046093500001007,16.02239830000144,16.02239830000144,16.34382480000022,space,0.3004785000011907,None,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
2,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,16.573786000000837,,,,,,,,,,,,,,,,,,,,,,,,,,16.45808180000131,16.573786000000837,18.497259800000393,18.497259800000393,18.78735510000115,space,0.2715281999990111,None,,,,,,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
14,0.6,0.1,,,,,,,,,,,,,0,0,0,5,19.99121400000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.964110300001266,18.968698000000586,19.96588640000118,19.970938300000853,19.971603300000424,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
10,-0.5,0.15,,,,,,,,,,,,,0,1,1,3,19.99121400000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97175100000095,19.972203100000115,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
5,-0.6,0.15,,,,,,,,,,,,,0,2,2,2,19.99121400000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.972357000000557,19.972776600001453,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
7,0.7,0.1,,,,,,,,,,,,,0,3,3,6,19.99121400000149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97289550000096,19.97337780000089,638383,001,2024-08-29_12h57.52.114,tarea_iceberg,2023.2.3,59.76311098081266,2024-08-29 12h58.00.886499 +0200,
