timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,text_7.stopped,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,image_9.started,Key_resp.started,music_video2.stopped,Key_resp.keys,Key_resp.rt,Key_resp.duration,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027203999925404787,0.026969499987899326,0.026969499987899326,3.0128771000017878,3.012888799989014,3.0297428999911062,5.999966899995343,11.040958799989312,space,5.0353860000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
13,-0.5,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.155908599990653,,,,,,,,,,,,,11.041004400001839,11.05469419999281,13.155908599990653,13.040739299991401,13.13309940000181,26.05769329999748,26.05769329999748,26.423638699998264,space,0.33805030000803526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
6,0.6,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.444691799988504,,,,,,,,,,,,,,,,,26.424336999989464,32.43460569999297,32.43460569999297,32.86099889999605,space,0.40191390000109095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
6,0.6,0.1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,32.87458819999301,32.88195409999753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
13,-0.5,0.15,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,32.88226919999579,32.88878889998887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
13,-0.5,0.15,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,,,,32.93428149999818,32.941954499998246,None,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
6,0.6,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94235829998797,32.94968269999663,None,,,,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
4,-0.8,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.982567699989886,32.99104959999386,None,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
7,0.9,0.1,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,33.05326649999188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.991418599995086,32.99743249999301,None,,,,,,,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
12,0.6,0.1,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.04082070000004,33.05326649999188,35.04563579999376,35.05562679999275,35.062311399989994,None,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
11,0.7,0.1,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06260279999697,35.067118199993274,None,,,,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
11,0.7,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07643349999853,35.081265999993775,None,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
12,0.6,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.08149689999118,35.08602009998867,None,,,,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
11,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.09590539999772,35.100913699992816,None,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
12,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,35.69579519999388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10117559999344,35.105769499990856,None,,,,,,,,,,,638762,384202,Hombre,2024-09-10_09h45.11.777,tarea_iceberg,2023.2.3,59.75171965426083,2024-09-10 09h45.35.857849 +0200,
