timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,image_7.started,key_resp_7.started,music2.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0052540000033332035,0.03319240000564605,0.03319240000564605,3.0040978000033647,3.0041114000050584,3.020645099997637,6.006432700000005,8.142805800001952,space,2.12968300000648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
11,0.8,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25207319999754,,,,,,,,,,,,,8.142828199997894,8.15865740001027,10.146084599997266,10.177568500002963,10.183580199998687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
5,0.6,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25207319999754,,,,,,,,,,,,,,,,10.183842400001595,10.188171400004649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
11,0.8,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.25207319999754,,,,,,,,,,,,,,,,,,,10.197568200004753,10.202969799996936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
5,0.6,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10.25207319999754,,,,,,,,,,,,,,,,,,,10.203229899998405,10.208380199997919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
5,0.6,0.1,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,10.25207319999754,,,,,,,,,,,,,,,,,,,,,,10.235359600002994,15.233033199998317,15.233033199998317,16.150838500005193,space,0.9108137000002898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
11,0.8,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,16.173458000004757,,,,,,,,,,,,,,,,,,,,,,16.151188400006504,27.160997800005134,27.160997800005134,27.897064300006605,space,0.7339509999874281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
7,-0.5,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,27.98782249999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.926650200010045,27.932403800004977,None,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
8,-0.5,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,27.98782249999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.93269240000518,27.937061300006462,None,,,,,,,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
3,-0.8,0.15,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,30.12034449999919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97802570000931,27.98782249999931,29.980771600006847,29.9879951000039,29.992791099997703,None,,,,,,,,,,,,,,,,,,671272,020949,Hombre,2024-09-10_10h16.27.612,tarea_iceberg,2023.2.3,59.672600315502585,2024-09-10 10h16.55.657581 +0200,
