timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.8,0.15,0,0,0,0,,,,,,,,,0.03440310000041791,,0.007397100000162027,0.03440310000041791,2.005515999999261,2.005515999999261,2.4228282000003674,space,0.40500650000103633,None,,,,,,,,,,,,,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
2,-0.7,0.15,0,1,1,1,,,,,,,,,2.6131002999991324,,2.5598499000006996,2.6131002999991324,4.570446699999593,4.570446699999593,5.0381290999994235,space,0.46136350000051607,None,,,,,,,,,,,,,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
9,0.5,0.1,,,,,0,0,0,4,,,,,8.187776999999187,,,,,,,,,,5.143112899999323,5.147177900000315,8.187776999999187,8.131639799999903,8.135950399999274,8.187776999999187,17.14570619999904,17.14570619999904,17.529127699999663,space,0.37355290000050445,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
15,-0.5,0.15,,,,,0,1,1,3,,,,,17.69546900000023,,,,,,,,,,,,,,17.639443800000663,17.69546900000023,32.652144300000145,32.652144300000145,32.9860019000007,space,0.32252390000030573,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
3,0.7,0.1,,,,,0,2,2,6,,,,,33.157040199999756,,,,,,,,,,,,,,33.102153399999224,33.157040199999756,36.11703060000036,36.11703060000036,36.66764239999975,space,0.5390154000015173,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
11,0.8,0.1,,,,,0,3,3,7,,,,,36.86090839999997,,,,,,,,,,,,,,36.80627230000027,36.86090839999997,47.80918299999939,47.80918299999939,48.12675110000055,space,0.31528680000155873,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
8,-0.8,0.15,,,,,0,4,4,0,,,,,48.28846820000035,,,,,,,,,,,,,,48.2308606000006,48.28846820000035,56.238158199999816,56.238158199999816,56.57177120000051,space,0.33234690000062983,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
7,0.6,0.1,,,,,0,5,5,5,,,,,56.75345340000058,,,,,,,,,,,,,,56.6932584999995,56.75345340000058,63.70009670000036,63.70009670000036,64.06641459999992,space,0.35221850000016275,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
12,-0.7,0.15,,,,,0,6,6,1,,,,,64.25242299999991,,,,,,,,,,,,,,64.19601899999907,64.25242299999991,76.20797099999982,76.20797099999982,76.57547689999956,space,0.35815720000027795,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
4,-0.6,0.15,,,,,0,7,7,2,,,,,76.75263769999947,,,,,,,,,,,,,,76.69917770000029,76.75263769999947,80.70603739999933,80.70603739999933,81.07202169999982,space,0.36122080000131973,None,,,,,,,,,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
8,0.5,0.1,,,,,,,,,0,0,0,4,81.23884039999939,,,,,,,,,,,,,,,,,,,,,,81.2072793999996,81.23884039999939,89.21599939999942,89.21599939999942,89.60026959999959,space,0.36777730000176234,None,681376,001,2024-08-29_12h11.32.376,tarea_iceberg,2023.2.3,60.32814893308028,2024-08-29 12h11.41.306765 +0200,
,,,,,,,,,,,,,,,89.82734709999932,,,,,,,,,,,,,,,,,,,,,,89.76684829999977,89.82734709999932,,,,,,,,,,,,,,
