timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,movie_song.started,music.stopped,key_resp_2.keys,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
14,-0.7,0.15,0,0,0,1,,,,,,,,,0.10700489999999263,,0.03393130000040401,0.10700489999999263,14.018600000000333,14.018600000000333,14.314829800000552,space,0.27929540000059205,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
4,0.8,0.1,0,1,1,7,,,,,,,,,14.509622100000342,,14.455246200000147,14.509622100000342,18.46119060000001,18.46119060000001,18.82742380000036,space,0.36364450000019133,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
5,-0.6,0.15,0,2,2,2,,,,,,,,,19.015559500000563,,18.95763310000075,19.015559500000563,23.957621300000028,23.957621300000028,24.424944000000323,space,0.4573819999995976,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
10,0.5,0.1,0,3,3,4,,,,,,,,,24.597356500000387,,24.53995600000053,24.597356500000387,34.55008500000076,34.55008500000076,35.017333300000246,space,0.46039919999930135,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
7,-0.8,0.15,0,4,4,0,,,,,,,,,35.180937000000085,,35.121793600000274,35.180937000000085,42.12905920000048,42.12905920000048,42.46268770000006,space,0.32667899999978545,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
9,0.6,0.1,0,5,5,5,,,,,,,,,42.646933300000455,,42.58491860000049,42.646933300000455,51.59043030000066,51.59043030000066,51.87541300000066,space,0.2754826000000321,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
6,0.7,0.1,0,6,6,6,,,,,,,,,52.06368710000061,,52.00802710000062,52.06368710000061,58.018629400000464,58.018629400000464,58.336345800000345,space,0.3157842000000528,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
11,-0.5,0.15,0,7,7,3,,,,,,,,,58.52654280000024,,58.47027980000075,58.52654280000024,69.4787877000008,69.4787877000008,69.87905840000076,space,0.38651929999923595,None,,,,,,,,,,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
4,-0.6,0.15,,,,,0,0,0,2,,,,,76.41449170000033,,,,,,,,,,70.01412330000039,70.01801860000069,76.41449170000033,73.01062760000059,73.01425300000028,76.41449170000033,76.41449170000033,73.12045980000039,None,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
3,0.7,0.1,,,,,0,1,1,6,,,,,76.41449170000033,,,,,,,,,,,,,,73.38970700000027,76.41449170000033,76.41449170000033,73.51882990000013,None,,,,,,,,,688790,001,2024-08-29_10h56.56.975,tarea_iceberg,2023.2.3,59.96037818185935,2024-08-29 10h57.02.902729 +0200,
