routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,text_7.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023505999997723848,0.014152599993394688,0.014152599993394688,3.0099708000052487,3.009987400000682,3.02605620000395,6.00740859999496,7.307893899996998,space,1.288476499990793,None,,,,,,,,,,,,,,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,4,0.7,0.1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,9.343928100002813,,,,,,,,,,,,,7.314549100003205,7.314557999998215,control,7.31456430000253,7.324970899993787,9.321872300002724,9.33133010000165,13.338056599997799,13.338056599997799,14.103167599998415,space,0.7619989999948302,None,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,15,0.7,0.1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,14.13754379999591,,,,,,,,,,,,,,,,,,,14.103512700006831,29.11934879999899,29.11934879999899,29.603417599995737,space,0.4812272999988636,None,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,4,0.7,0.1,0,0,0,0,,,,,0,0,0,1,,,,,,,,,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,29.61135390000709,29.617005599997356,None,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,15,0.7,0.1,0,0,0,0,,,,,0,1,1,0,,,,,,,,,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,29.61723040000652,29.622272900000098,None,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,15,0.7,0.1,0,0,0,0,,,,,,,,,0,0,0,0,,,,,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.654540500006988,29.660116700004437,None,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,4,0.7,0.1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.660354599996936,29.665328899995075,None,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,4,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.694846700003836,29.70082860000548,None,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,6,0.7,0.1,0,0,0,0,,,,,,,,,,,,,0,1,1,1,29.754896900005406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.701143900005263,29.706276199998683,None,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
control,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
music,10,-0.6,0.15,0,1,1,1,0,0,0,1,,,,,,,,,,,,,29.754896900005406,,,,,,,,,,,,,29.746885000000475,29.74689959999523,music,29.74690470000496,29.754896900005406,31.74170339999546,31.749678099993616,,,31.754708699998446,None,,,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
music,3,-0.7,0.15,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7549691000022,,,31.759371199994348,None,,,,,,,,,,,,,724102,304357,Hombre,2024-08-30_12h55.44.436,tarea_iceberg,2023.2.3,60.01327493444706,2024-08-30 12h55.56.625832 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7666664999997,,,,,,,,,,,,,,,,,,
