timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,image_6.started,key_resp_6.started,control2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03859470000315923,0.058131000012508593,0.058131000012508593,3.010039400003734,3.010052600002382,3.026308100001188,6.012544800003525,6.964608500013128,space,0.9361185999878217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
3,-0.7,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06811400000879,,,,,,,,,,,,,6.964636900011101,6.980252500012284,8.96558790000563,8.979503300011856,8.987207300000591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
4,0.9,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06811400000879,,,,,,,,,,,,,,,,8.987489700011793,8.992863900013617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
4,0.9,0.1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,9.06811400000879,,,,,,,,,,,,,,,,,,,9.051764400006505,13.002426300008665,13.002426300008665,13.511645100006717,space,0.48898360000748653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
3,-0.7,0.15,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,13.53478040000482,,,,,,,,,,,,,,,,,,,13.512073400008376,16.522846100007882,16.522846100007882,16.975543900000048,space,0.4407731000101194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
3,-0.7,0.15,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.12545520000276,,,,,,,,,,,,,,,,,,,,,,,,,,17.002862900000764,17.00911030000134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
4,0.9,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,17.12545520000276,,,,,,,,,,,,,,,,,,,,,,,,,,17.00938909999968,17.014526099999784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
10,0.5,0.1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,17.12545520000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.042328600000474,17.049551700009033,None,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
14,-0.7,0.15,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,17.12545520000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.049811500008218,17.05542129999958,None,,,,,,,,,,,,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,19.648976500000572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.114701700003934,17.12545520000276,19.648976500000572,19.109780800004955,19.119931900000665,30.12028149999969,30.12028149999969,30.49417980000726,space,0.3718848999997135,None,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,30.515330300011556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.494733400002588,43.501677600012044,43.501677600012044,44.097466800012626,space,0.5811753000016324,None,,,,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,44.18221660000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.110726600003545,44.118642900008126,None,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,44.18221660000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.11896770000749,44.12545590000809,None,,,,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,44.18221660000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.13579210000171,44.14235850000114,None,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,44.18221660000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.14262530000997,44.14925710001262,None,,,,,,,,737197,132245,Hombre,2024-09-10_10h01.23.524,tarea_iceberg,2023.2.3,59.491478737394004,2024-09-10 10h01.42.041552 +0200,
