routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,image_5.stopped,text_6.stopped,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,text_7.stopped,image.started,key_resp.started,key_resp.rt,key_resp.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019807000062428415,0.012612000005901791,0.012612000005901791,3.0161858000064967,3.0161858000064967,3.0007919000054244,3.0008131000067806,3.0161858000064967,6.014290499995695,6.681536000003689,space,0.665052199998172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,14,-0.8,0.15,0,0,0,3,0,0,0,1,,,,,,,,,,,,,8.734265000006417,,,,,,,,,,,,,,,6.686940500003402,6.686971899995115,music,6.686978400000953,6.696925800002646,8.696070400008466,8.704319900003611,8.709644300004584,None,,,,,,,,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,13,0.5,0.1,0,0,0,3,0,1,1,0,,,,,,,,,,,,,8.734265000006417,,,,,,,,,,,,,,,,,,,,,8.709866899996996,8.714387400003034,None,,,,,,,,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,13,0.5,0.1,0,0,0,3,,,,,0,0,0,0,,,,,,,,,8.734265000006417,,,,,,,,,,,,,,,,,,,,,,,,8.72166150000703,21.72338110000419,21.72338110000419,22.188577199995052,space,0.43829720000212546,None,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,14,-0.8,0.15,0,0,0,3,,,,,0,1,1,1,,,,,,,,,22.205597499996657,,,,,,,,,,,,,,,,,,,,,,,,22.189154699997744,36.18153760000132,36.18153760000132,36.72647930000676,space,0.5017418000061298,None,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,14,-0.8,0.15,0,0,0,3,,,,,,,,,0,0,0,1,,,,,36.89278920000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76137940000626,36.76709750000737,None,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,13,0.5,0.1,0,0,0,3,,,,,,,,,0,1,1,0,,,,,36.89278920000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.767335299999104,36.77151910000248,None,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,13,-0.7,0.15,0,0,0,3,,,,,,,,,,,,,0,0,0,0,36.89278920000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.810338299997966,36.815981000007014,None,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,6,0.9,0.1,0,0,0,3,,,,,,,,,,,,,0,1,1,1,36.89278920000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.81631930000731,36.82078019999608,None,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
music,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762281,248364,Hombre,2024-08-30_13h32.39.094,tarea_iceberg,2023.2.3,60.06879078028718,2024-08-30 13h32.50.315532 +0200,
