timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,image_9.started,Key_resp.started,music_video2.stopped,Key_resp.keys,Key_resp.rt,Key_resp.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025748999905772507,0.028699599992251024,0.028699599992251024,3.0169899000029545,3.017003400003887,3.033410499992897,6.00368239999807,7.022299499993096,space,1.0096308999927714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
13,0.7,0.1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.214060099999188,,,,,,,,,,,,,7.0223256000026595,7.037191099996562,9.023163599995314,9.034070800000336,9.04072069999529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
4,-0.6,0.15,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.214060099999188,,,,,,,,,,,,,,,,9.040988799999468,9.045779099993524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
13,0.7,0.1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,9.214060099999188,,,,,,,,,,,,,,,,,,,9.131236200002604,9.139436199999182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
4,-0.6,0.15,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,9.214060099999188,,,,,,,,,,,,,,,,,,,9.13981259999855,9.145278500000131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
4,-0.6,0.15,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.214060099999188,,,,,,,,,,,,,,,,,,,,,,9.188770599997952,13.176955499991891,13.176955499991891,13.645926999990479,space,0.46802430000388995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
13,0.7,0.1,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,13.670223799999803,,,,,,,,,,,,,,,,,,,,,,13.646339500002796,26.65773989999434,26.65773989999434,26.99336900000344,space,0.31561170000350103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
12,0.8,0.1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,27.09930980000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.028989700003876,27.03671139999642,None,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
11,-0.8,0.15,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,27.09930980000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.037173699995037,27.04338689999713,None,,,,,,,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
10,0.6,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,29.384273100004066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.087180899994564,27.09930980000354,29.093168699997477,29.103879999995115,29.110376199998427,None,,,,,,,,,,,,,,,,,,771755,096041,Hombre,2024-09-10_09h48.38.194,tarea_iceberg,2023.2.3,60.41770383869934,2024-09-10 09h48.55.903890 +0200,
