timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029451000009430572,0.025754999995115213,0.025754999995115213,3.0034159000060754,3.0034297999955015,3.0195370000001276,6.006682599996566,8.025071399999433,space,2.0085222000052454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
4,0.7,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122703400003957,,,,,,,,,,,,,8.025097499994445,8.041285200000857,10.026992700004485,10.087137900001835,10.093868900003145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
15,-0.7,0.15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122703400003957,,,,,,,,,,,,,,,,10.094135000006645,10.09938929999771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
4,0.7,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.122703400003957,,,,,,,,,,,,,,,,,,,10.10821570000553,14.12451599999622,14.12451599999622,18.28590119999717,space,4.138661399992998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
15,-0.7,0.15,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,18.304018499999074,,,,,,,,,,,,,,,,,,,18.286585099995136,33.29997839999851,33.29997839999851,33.72579470000346,space,0.4032510000106413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
15,-0.7,0.15,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,33.88164069999766,,,,,,,,,,,,,,,,,,,,,,,,,,33.757299999997485,33.763813800003845,None,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
4,0.7,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,33.88164069999766,,,,,,,,,,,,,,,,,,,,,,,,,,33.76416340000287,33.76949360000435,None,,,,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
11,0.6,0.1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,33.88164069999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.79940329999954,33.80719570000656,None,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
6,-0.7,0.15,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,33.88164069999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.807474100001855,33.812453699996695,None,,,,,,,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
10,-0.5,0.15,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,36.43990100000519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.86738850000256,33.88164069999766,35.86907230000361,35.878241800004616,35.88544379999803,None,,,,,,,,,,,,,,,,,775954,417383,Hombre,2024-09-10_10h03.27.293,tarea_iceberg,2023.2.3,59.94919905098024,2024-09-10 10h03.52.826296 +0200,
