routineName,timepresentation,posx,posy,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,executedRoutine,nueva_ronda.started,text_7.started,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,image.started,key_resp.started,key_resp.rt,key_resp.duration,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024649999977555126,0.015670499997213483,0.015670499997213483,3.0076951000082772,3.0077132000005804,3.0228882000083104,6.005418200002168,7.539074900007108,space,1.5264266000012867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,6,-0.7,0.15,0,0,0,0,0,0,0,1,,,,,,,,,,,,,9.689406000004965,,,,,,,,,,,,,7.544191900000442,7.544220299998415,music_video,7.54422660000273,7.556895700006862,9.553191900005913,9.561627800008864,9.567851900006644,None,,,,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,8,-0.7,0.15,0,0,0,0,0,1,1,0,,,,,,,,,,,,,9.689406000004965,,,,,,,,,,,,,,,,,,,9.568163000003551,9.573183500004234,None,,,,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,8,-0.7,0.15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,9.689406000004965,,,,,,,,,,,,,,,,,,,,,,9.58054219999758,9.586002600000938,None,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,6,-0.7,0.15,0,0,0,0,,,,,0,1,1,1,,,,,,,,,9.689406000004965,,,,,,,,,,,,,,,,,,,,,,9.586345000003348,9.591424900005222,None,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,8,-0.7,0.15,0,0,0,0,,,,,,,,,0,0,0,0,,,,,9.689406000004965,,,,,,,,,,,,,,,,,,,,,,,,,9.622682500004885,9.629518300003838,None,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,6,-0.7,0.15,0,0,0,0,,,,,,,,,0,1,1,1,,,,,9.689406000004965,,,,,,,,,,,,,,,,,,,,,,,,,9.629741299999296,9.63434839999536,None,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,9,0.9,0.1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,9.689406000004965,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673362800007453,18.66718150000088,18.66718150000088,19.208524400004535,space,0.5129370000067865,None,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,8,-0.7,0.15,0,0,0,0,,,,,,,,,,,,,0,1,1,1,19.242732800004887,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.209148599999025,27.21905980000156,27.21905980000156,27.84545920000528,space,0.38204890000633895,0.1440465000050608,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
music_video,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790702,278173,Hombre,2024-08-30_13h40.52.915,tarea_iceberg,2023.2.3,59.972244844940384,2024-08-30 13h41.04.394855 +0200,
