timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,movie_2.started,movie_song.started,music.stopped,key_resp_2.keys,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
5,-0.6,0.15,0,0,0,2,,,,,,,,,0.09381860000030429,,0.058949199999915436,0.09381860000030429,5.010826599999746,5.010826599999746,5.378148799999508,space,0.3532709999999497,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
10,0.5,0.1,0,1,1,4,,,,,,,,,5.564239100000123,,5.50776229999974,5.564239100000123,15.519696899999872,15.519696899999872,15.870483900000181,space,0.3417295999997805,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
7,-0.8,0.15,0,2,2,0,,,,,,,,,16.066103600000133,,16.010243900000205,16.066103600000133,23.015138800000386,23.015138800000386,23.33492120000028,space,0.3140881999997873,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
9,0.6,0.1,0,3,3,5,,,,,,,,,23.500227900000027,,23.438541700000314,23.500227900000027,32.44296419999955,32.44296419999955,32.77680150000015,space,0.3297173999999359,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
6,0.7,0.1,0,4,4,6,,,,,,,,,32.93542739999975,,32.88016470000002,32.93542739999975,38.88849019999998,38.88849019999998,39.37366730000031,space,0.4769963999997344,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
11,-0.5,0.15,0,5,5,3,,,,,,,,,39.55787439999949,,39.50358760000017,39.55787439999949,50.5162707999998,50.5162707999998,50.85204009999961,space,0.3297859000003882,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
4,0.8,0.1,0,6,6,7,,,,,,,,,51.029560400000264,,50.96700479999981,51.029560400000264,54.97961469999973,54.97961469999973,55.41858719999982,space,0.42554130000007717,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
14,-0.7,0.15,0,7,7,1,,,,,,,,,55.626356300000225,,55.564824600000065,55.626356300000225,69.57167339999978,69.57167339999978,70.20576869999968,space,0.6262333000004219,None,,,,,,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
4,-0.6,0.15,,,,,0,0,0,2,,,,,73.84777740000027,,,,,,,,,,70.31567470000027,73.84777740000027,73.84777740000027,70.42521380000017,None,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
8,-0.8,0.15,,,,,0,1,1,0,,,,,73.84777740000027,,,,,,,,,,70.73511400000007,73.84777740000027,73.84777740000027,70.87722980000035,None,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
12,-0.7,0.15,,,,,0,2,2,1,,,,,73.84777740000027,,,,,,,,,,71.18547330000001,73.84777740000027,73.84777740000027,71.31755220000014,None,,,,,,,,,795355,001,2024-08-29_10h53.06.869,tarea_iceberg,2023.2.3,60.14415350737517,2024-08-29 10h53.12.317280 +0200,
