timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,image_6.started,key_resp_6.started,control2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004127499996684492,0.026265199994668365,0.026265199994668365,3.014219199991203,3.0142313999967882,3.0311802999931388,6.000401499986765,6.201795899993158,space,0.18785699999716599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
4,-0.8,0.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.321728399998392,,,,,,,,,,,,,6.2018293000000995,6.21721649999381,8.202888999992865,8.21411519999674,8.220972799987067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
11,0.7,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.321728399998392,,,,,,,,,,,,,,,,8.221269899993786,8.226151699986076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
11,0.7,0.1,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,8.321728399998392,,,,,,,,,,,,,,,,,,,8.305339999991702,19.23028199998953,19.23028199998953,19.697424699988915,space,0.4372027000063099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
4,-0.8,0.15,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,19.71530039999925,,,,,,,,,,,,,,,,,,,19.69807059998857,23.71107559998927,23.71107559998927,24.105763399988064,space,0.38903140000184067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
11,0.7,0.1,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,24.27579749999859,,,,,,,,,,,,,,,,,,,,,,,,,,24.140882599996985,24.145926599987433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
4,-0.8,0.15,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,24.27579749999859,,,,,,,,,,,,,,,,,,,,,,,,,,24.146171499989578,24.15095259998634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
5,0.9,0.1,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,24.27579749999859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.193027199988137,24.19979919999605,None,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
10,0.5,0.1,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,24.27579749999859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20008229999803,24.205034799990244,None,,,,,,,,,,,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
11,-0.7,0.15,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,26.765903899999103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.26331599999685,24.27579749999859,26.271228599987808,26.281596399989212,37.26564800000051,37.26564800000051,37.69254699999874,space,0.4183869999978924,None,,,,,,,,,,,,,,821770,282233,Hombre,2024-09-10_09h54.59.247,tarea_iceberg,2023.2.3,60.81574592169936,2024-09-10 09h55.17.336817 +0200,
