timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.006624000030569732,0.026023500016890466,0.026023500016890466,3.0132055000867695,3.013219500076957,3.029285000055097,6.0158583000302315,7.0842908000340685,space,1.0552634000778198,None,,,,,,,,,,,,,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,0.7,0.1,0,0,0,1,,,,,,,,,,,,,,,,,9.282647800049745,,,,,,,,,,,,,7.084311100072227,7.099502000026405,9.085688300081529,9.13534250005614,9.140598200028762,None,,,,,,,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,-0.8,0.15,0,1,1,0,,,,,,,,,,,,,,,,,9.282647800049745,,,,,,,,,,,,,,,,9.140845800051466,9.144952500006184,None,,,,,,,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,0.7,0.1,,,,,0,0,0,1,,,,,,,,,,,,,9.282647800049745,,,,,,,,,,,,,,,,,,,9.153724800096825,9.15834329999052,None,,,,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,-0.8,0.15,,,,,0,1,1,0,,,,,,,,,,,,,9.282647800049745,,,,,,,,,,,,,,,,,,,9.158568000071682,9.162640199996531,None,,,,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,-0.8,0.15,,,,,,,,,0,0,0,0,,,,,,,,,9.282647800049745,,,,,,,,,,,,,,,,,,,,,,9.195795600069687,9.20227100001648,None,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
8,0.7,0.1,,,,,,,,,0,1,1,1,,,,,,,,,9.282647800049745,,,,,,,,,,,,,,,,,,,,,,9.202498800004832,9.20630550000351,None,,,,,,,,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
12,0.7,0.1,,,,,,,,,,,,,0,0,0,0,,,,,9.282647800049745,,,,,,,,,,,,,,,,,,,,,,,,,9.244833400007337,21.2472323999973,21.2472323999973,21.759894000017084,space,0.49555120000150055,None,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
12,0.8,0.1,,,,,,,,,,,,,0,1,1,1,,,,,21.776158299995586,,,,,,,,,,,,,,,,,,,,,,,,,21.76058630004991,33.76001960004214,33.76001960004214,34.36885850003455,space,0.599020800087601,None,,,,,,831783,820121,Hombre,2024-09-18_13h32.53.053,tarea_iceberg,2023.2.3,59.892325579927586,2024-09-18 13h33.26.488611 +0200,
,,,,,,,,,,,,,,,,,,,,,,,36.94800319999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.418306500068866,34.42739050008822,36.94800319999922,36.41335330007132,36.42219579999801,,,,,,,,,
