timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,random_routines.started,random_routines.stopped,nueva_ronda.started,text_7.started,text_7.stopped,nueva_ronda.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0019566999981179833,0.013428999998723157,0.013428999998723157,3.001360599999316,3.001375099993311,3.0179938999935985,6.016513899987331,7.2831915999995545,space,1.2608892000134801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
8,-0.5,0.15,0,0,0,0,,,,,,,,,,,,,9.401384500000859,,,,,,,,,,,,,7.2832153999916045,7.283225299994228,7.283231399997021,7.2983179000002565,9.401384500000859,9.281982699991204,9.292284299997846,9.297349399988889,None,,,,,,,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
6,-0.8,0.15,0,1,1,1,,,,,,,,,,,,,9.401384500000859,,,,,,,,,,,,,,,,,,,9.297582799990778,9.301541399996495,None,,,,,,,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
6,-0.8,0.15,,,,,0,0,0,1,,,,,,,,,9.401384500000859,,,,,,,,,,,,,,,,,,,,,,9.308572199995979,9.31289589998778,None,,,,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
8,-0.5,0.15,,,,,0,1,1,0,,,,,,,,,9.401384500000859,,,,,,,,,,,,,,,,,,,,,,9.313120299993898,9.316888399989693,None,,,,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
6,-0.8,0.15,,,,,,,,,0,0,0,1,,,,,9.401384500000859,,,,,,,,,,,,,,,,,,,,,,,,,9.347066199989058,9.354449499995098,None,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
8,-0.5,0.15,,,,,,,,,0,1,1,0,,,,,9.401384500000859,,,,,,,,,,,,,,,,,,,,,,,,,9.354714399989462,9.359197199999471,None,,,,,,,,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
5,-0.5,0.15,,,,,,,,,,,,,0,0,0,0,9.401384500000859,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.386357199997292,14.380565499988734,14.380565499988734,16.040850599994883,space,1.6442303000076208,None,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
15,0.8,0.1,,,,,,,,,,,,,0,1,1,1,16.055292199991527,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.041490499992506,31.05323330000101,31.05323330000101,31.522282399993856,space,0.4587328999914462,None,,,,,833335,631036,Hombre,2024-08-30_17h37.02.477,tarea_iceberg,2023.2.3,60.22768473951831,2024-08-30 17h37.12.670855 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.569272399996407,31.57516699998814,33.58214619998762,33.5664695000014,,,,,,,,,
