timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,image_13.started,Key_resp_2.started,music_video3.stopped,Key_resp_2.keys,Key_resp_2.rt,Key_resp_2.duration,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039787000278010964,0.020686800009571016,0.020686800009571016,3.0074297999963164,3.007439799956046,3.024107399978675,6.010483599966392,6.7283292999491096,space,0.7079880000092089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
5,0.8,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.792289500008337,,,,,,,,,,,,,6.728351600002497,6.743864599964581,8.729646799969487,8.777689000009559,13.734755899989977,13.734755899989977,14.752966100000776,space,1.016251499997452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
13,0.6,0.1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.776212299941108,,,,,,,,,,,,,,,,14.753331499989145,27.76543060003314,27.76543060003314,28.173952499986626,space,0.393680699984543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
5,0.8,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,28.18387349997647,28.18895680003334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
13,0.6,0.1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,28.189201000030152,28.193709500017576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
13,0.6,0.1,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,,,,28.22000760002993,28.22487000003457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
5,0.8,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,,,,28.22509219998028,28.229626899934374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
13,-0.6,0.15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.260565100004897,28.266239700024016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
14,-0.7,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32346470002085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.266472599934787,28.270809900015593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
6,0.5,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94461629993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3120241999859,28.32346470002085,30.318270099931397,30.328169399988838,30.333914199960418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
4,0.8,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94461629993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.334231999935582,30.338005400029942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
4,0.8,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94461629993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34600249992218,30.350023499922827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
6,0.5,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94461629993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.350287699955516,30.35403749998659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
6,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94461629993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.390990999992937,36.396777399932034,36.396777399932034,37.28265690000262,space,0.8820548999356106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
4,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.29976660001557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.28327979997266,41.29525399999693,41.29525399999693,41.815976699930616,space,0.5195380999939516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
11,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,41.92461089999415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.84984799998347,41.85513069992885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
15,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,41.92461089999415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85545369994361,41.85967649996746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
5,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,44.596653899992816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.91296570003033,41.92461089999415,43.9145110999234,43.92293969995808,43.92793330003042,None,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
15,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,44.596653899992816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.92822579992935,43.93257659999654,None,,,,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
15,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,44.596653899992816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94062579993624,43.94514580001123,None,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
5,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,44.596653899992816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94536589994095,43.94945539999753,None,,,,,,,,,,,,,,,,,,853833,702911,Hombre,2024-09-18_13h22.01.872,tarea_iceberg,2023.2.3,59.965555801708625,2024-09-18 13h22.28.737513 +0200,
