timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045964999590069056,0.021876199985854328,0.021876199985854328,3.0089538999600336,3.008964499924332,3.0251373999053612,6.012694499921054,6.062624999904074,space,0.047927799983881414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
9,0.9,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,6.06264789996203,6.077760199899785,8.063398799975403,8.094871599925682,8.109035399975255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
13,-0.7,0.15,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,8.109328499995172,8.11396409990266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
13,-0.7,0.15,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,,,,8.121130799991079,8.125806999974884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
9,0.9,0.1,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,,,,8.126106399926357,8.130857499898411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
9,0.9,0.1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,,,,,,,8.161078099976294,8.169032899895683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
13,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,,,,,,,8.169308199896477,8.173014299944043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
10,0.5,0.1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.227816499886103,,,,,,,,,,,,,,,,,,,,,,,,,8.21009999990929,18.206771199940704,18.206771199940704,18.662635599961504,space,0.43850879999808967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
7,-0.8,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.678720199968666,,,,,,,,,,,,,,,,,,,,,,,,,18.663292299956083,25.663733499939553,25.663733499939553,26.048806199920364,space,0.38118110003415495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
8,0.6,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.456117299967445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.093830599915236,26.10397259995807,28.10064879991114,28.11042079993058,28.116532699903473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864329,261578,Hombre,2024-09-18_12h42.32.820,tarea_iceberg,2023.2.3,59.56089328274647,2024-09-18 12h42.58.645243 +0200,
