timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,text_2.stopped,instructions3.stopped,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,text_3.stopped,instructions4.stopped,music_video.started,key_resp_5.started,music_video.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.7,0.15,0,0,0,1,,,,,,,,,,,,,0.1554245000006631,,0.11431989999982761,0.1554245000006631,2.0159089999997377,2.0159089999997377,2.316735399999743,space,0.28799070000059146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
2,-0.8,0.15,0,1,1,0,,,,,,,,,,,,,2.480787099999361,,2.4263078999993013,2.480787099999361,4.431195799999841,4.431195799999841,4.731495199999699,space,0.2956923999990977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
2,-0.7,0.15,,,,,0,0,0,1,,,,,,,,,7.890583500000503,,,,,,,,,,4.8487384999989445,4.852830800000447,7.890583500000503,7.84214559999964,7.84639419999985,7.890583500000503,9.86045009999907,9.86045009999907,10.3779684000001,space,0.5001734000015858,None,,,,,,,,,,,,,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
2,-0.8,0.15,,,,,0,1,1,0,,,,,,,,,10.55744760000016,,,,,,,,,,,,,,10.503568099999029,10.55744760000016,12.510271799999828,12.510271799999828,12.876765400000295,space,0.3501259000004211,None,,,,,,,,,,,,,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
2,-0.8,0.15,,,,,,,,,0,0,0,0,,,,,14.064601899999616,,,,,,,,,,,,,,,,,,,,,,13.03184440000041,13.036125999999058,14.064601899999616,14.02205800000047,14.026798599999893,14.064601899999616,16.0437538999995,16.0437538999995,16.43175919999885,space,0.36570209999990766,None,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
2,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,16.676410000000033,,,,,,,,,,,,,,,,,,,,,,,,,,16.55501809999987,16.676410000000033,18.578116599999703,18.578116599999703,18.864351899999747,space,0.28471209999952407,None,,,,,,,,,,,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
8,0.5,0.1,,,,,,,,,,,,,0,0,0,4,20.01946399999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.01066499999979,19.016046700000516,20.01946399999906,20.001283600000534,20.005134999999427,20.01946399999906,22.530594800000472,space,2.485445399999662,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
10,-0.5,0.15,,,,,,,,,,,,,0,1,1,3,22.5362542999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53134560000035,22.5362542999992,24.35542119999991,space,1.7945347000004404,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
7,0.7,0.1,,,,,,,,,,,,,0,2,2,6,24.38543650000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35591199999908,24.38543650000065,25.53683699999965,space,1.1447260999993887,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
6,-0.7,0.15,,,,,,,,,,,,,0,3,3,1,25.542306800000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53738489999887,25.542306800000006,26.749953099999402,space,1.1981830000004265,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
5,-0.6,0.15,,,,,,,,,,,,,0,4,4,2,26.75708990000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.750475999999253,26.75708990000021,27.652748900000006,space,0.8742822000003798,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
13,-0.8,0.15,,,,,,,,,,,,,0,5,5,0,27.65872329999911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.653255799999897,27.65872329999911,28.57589949999965,space,0.8962699999992765,None,872844,001,2024-08-29_13h00.19.186,tarea_iceberg,2023.2.3,59.99556032856054,2024-08-29 13h00.29.029397 +0200,
