timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,image_6.started,key_resp_6.started,control2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,music_words2.stopped,key_resp_8.keys,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,key_resp_9.keys,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,image_13.started,Key_resp_2.started,music_video3.stopped,Key_resp_2.keys,Key_resp_2.rt,Key_resp_2.duration,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,image_15.started,key_resp_13.started,music4.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,music_video4.stopped,Key_resp_3.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005549199995584786,0.024096000008285046,0.024096000008285046,3.0109472000040114,3.010956500074826,3.0274313000263646,6.013999800081365,15.224411600036547,space,9.194507999927737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
5,0.5,0.05,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,15.224441100028343,15.239032600075006,17.22506650001742,17.28077700000722,17.28625650005415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.5,0.05,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.286482600029558,17.29114290000871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
9,0.1,0.05,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.291326500009745,17.295434199972078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
8,0.1,0.05,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.29561220004689,17.300222599995323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
13,0.3,0.05,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.300412100041285,17.30472480005119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
11,-0.3,0.05,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.304929699981585,17.309243299998343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
15,0.6,0.05,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.309459500014782,17.313501200056635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
6,0,0.05,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,17.31368839996867,17.317923299968243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
9,0.1,0.05,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.428720699972473,,,,,,,,,,,,,,,,,,,17.330690899980254,17.3354079000419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897199,842523,Hombre,2024-09-18_17h07.48.752,tarea_iceberg,2023.2.3,59.73876239185745,2024-09-18 17h08.17.505768 +0200,
