timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,text_7.stopped,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.006881800014525652,0.032664199941791594,0.032664199941791594,3.003866899991408,3.0038788999663666,3.02021479990799,6.006687999935821,7.693911899928935,space,1.6712760999798775,None,,,,,,,,,,,,,,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
8,0.1,0,0,0,0,0,,,,,,,,,,,,,,,,,9.887949500000104,,,,,,,,,,,,,7.693949399981648,7.707982699968852,9.887949500000104,9.69450619991403,9.75640770001337,9.762138799997047,None,,,,,,,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
13,-0.5,0,0,1,1,1,,,,,,,,,,,,,,,,,9.887949500000104,,,,,,,,,,,,,,,,,9.762409699964337,9.766640099929646,None,,,,,,,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
8,0.1,0,,,,,0,0,0,0,,,,,,,,,,,,,9.887949500000104,,,,,,,,,,,,,,,,,,,,9.780366499908268,9.785419799969532,None,,,,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
13,-0.5,0,,,,,0,1,1,1,,,,,,,,,,,,,9.887949500000104,,,,,,,,,,,,,,,,,,,,9.785638400004245,9.789550199988298,None,,,,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
8,0.1,0,,,,,,,,,0,0,0,0,,,,,,,,,9.887949500000104,,,,,,,,,,,,,,,,,,,,,,,9.808621799922548,9.815008000005037,None,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
13,-0.5,0,,,,,,,,,0,1,1,1,,,,,,,,,9.887949500000104,,,,,,,,,,,,,,,,,,,,,,,9.815235299989581,9.81922459998168,None,,,,,,,,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
5,-0.2,0,,,,,,,,,,,,,0,0,0,0,,,,,9.887949500000104,,,,,,,,,,,,,,,,,,,,,,,,,,9.864988500019535,14.855229999986477,14.855229999986477,27.51879210001789,space,12.654575299937278,None,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
11,-0.6,0,,,,,,,,,,,,,0,1,1,1,,,,,27.53748539998196,,,,,,,,,,,,,,,,,,,,,,,,,,27.519255699939094,38.52492080000229,38.52492080000229,39.91945439996198,space,1.3702384000644088,None,,,,,,901934,709239,Hombre,2024-09-18_14h00.10.810,tarea_iceberg,2023.2.3,60.2289180760495,2024-09-18 14h00.37.570748 +0200,
,,,,,,,,,,,,,,,,,,,,,,,42.50947879999876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96121979993768,39.97135729994625,42.50947879999876,41.96114599995781,41.97455889999401,,,,,,,,,
