timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,music.stopped,key_resp_2.keys,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,image_4.started,Key_resp_4.started,music_video.stopped,Key_resp_4.keys,Key_resp_4.rt,Key_resp_4.duration,Ronda_2.started,text_8.started,text_8.stopped,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004459100076928735,0.024877200019545853,0.024877200019545853,3.012500800075941,3.012511200038716,3.029385600006208,6.017294600023888,6.217308499966748,space,0.19483819999732077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
11,-0.5,0.15,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,6.2173347000498325,6.231931300018914,8.217733400058933,8.249021700001322,8.255028699990362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,0.7,0.1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,8.255299500073306,8.26045439997688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,0.7,0.1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,,,,8.270724800066091,8.275641800020821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
11,-0.5,0.15,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,,,,8.275846800068393,8.280276100034826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
11,-0.5,0.15,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,,,,,,,8.29863940004725,8.304911100072786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,0.7,0.1,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,,,,,,,8.305140700074844,8.30893970001489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
15,0.7,0.1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.352812099969015,,,,,,,,,,,,,,,,,,,,,,,,,8.338775100070052,23.332114599994384,23.332114599994384,23.706589100067504,space,0.3599349999567494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
5,-0.7,0.15,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.722032999969088,,,,,,,,,,,,,,,,,,,,,,,,,23.707169600063935,28.720827399985865,28.720827399985865,29.144443699973635,space,0.41932280000764877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
9,0.6,0.1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.542866899981163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.192515300004743,29.201445000013337,31.542866899981163,31.19110160006676,31.198511700029485,31.203528900048696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
8,0.5,0.1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.542866899981163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.203799100010656,31.208220800035633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
9,0.6,0.1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,31.542866899981163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.216215800028294,31.220759900053963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
8,0.5,0.1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,31.542866899981163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.22100500005763,31.225181300076656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
8,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,31.542866899981163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.244485500035807,39.24794450006448,39.24794450006448,39.58535120007582,space,0.324956199969165,None,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
9,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,39.59988190000877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5857321000658,48.59073300007731,48.59073300007731,48.92615569999907,space,0.33355029998347163,None,,,,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
10,-0.7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,49.01203930005431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.959577700006776,48.964666999992914,None,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
3,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,49.01203930005431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.964944800012745,48.96886640007142,None,,,,,,,,,,,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,51.310846099979244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00129290006589,49.01203930005431,51.01030000008177,51.01755500002764,64.00626829999965,64.00626829999965,64.37949570000637,space,0.36686459998600185,None,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
5,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,64.39478850003798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.38008390006144,69.39472169999499,69.39472169999499,70.09712090005632,space,0.6982875999528915,None,,,,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10428660002071,70.10863689996768,None,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
5,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.10890370002016,70.11341920006089,None,,,,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
5,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1339641000377,70.13888270000461,None,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
13,-0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13910969998688,70.14392699999735,None,,,,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
15,0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.16627380007412,70.17156699998304,None,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
14,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,70.23849200003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1717925000703,70.17583830002695,None,,,,907173,985335,Hombre,2024-09-18_12h48.06.878,tarea_iceberg,2023.2.3,59.77264876161878,2024-09-18 12h48.30.788327 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.22975110006519,70.23849200003315,72.231973499991,,,,,,,,,
