timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,control.started,movie.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,text.stopped,instructions2.stopped,music.started,movie_2.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions3.started,text_2.started,instructions3.stopped,music_words.started,movie_3.started,image_3.started,key_resp_3.started,music_words.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instructions4.started,text_3.started,instructions4.stopped,music_video.started,music_video.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,-0.8,0.15,0,0,0,0,,,,,,,,,,,,,0.07332780000069761,,0.03287909999926342,0.07332780000069761,2.009058100000402,2.009058100000402,2.377195400000346,space,0.3609885999994731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
2,-0.7,0.15,0,1,1,1,,,,,,,,,,,,,2.567626399999426,,2.5133389000002353,2.567626399999426,4.5235348000005615,4.5235348000005615,4.861842500000421,space,0.326910300000236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
2,-0.7,0.15,,,,,0,0,0,1,,,,,,,,,7.998285699999542,,,,,,,,,,4.976046300000235,4.98160850000022,7.998285699999542,7.968333900000289,7.972275599999193,7.998285699999542,9.986785999999483,9.986785999999483,10.388125299999956,space,0.383293799999592,None,,,,,,,,,,,,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
2,-0.8,0.15,,,,,0,1,1,0,,,,,,,,,10.547914099999616,,,,,,,,,,,,,,10.492223600000216,10.547914099999616,12.502562699999544,12.502562699999544,12.870338900000206,space,0.35412729999916337,None,,,,,,,,,,,,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
2,-0.8,0.15,,,,,,,,,0,0,0,0,,,,,14.063722900000357,,,,,,,,,,,,,,,,,,,,,,13.0136509999993,13.017158599999675,14.01408629999969,14.017994300000282,14.063722900000357,16.006011899999066,16.006011899999066,16.557112500000585,space,0.5422866999997495,None,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
2,-0.7,0.15,,,,,,,,,0,1,1,1,,,,,16.800875999999334,,,,,,,,,,,,,,,,,,,,,,,,,16.675861800000348,16.800875999999334,18.66846649999934,18.66846649999934,19.030279799999335,space,0.33207620000030147,None,,,,,,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
14,0.6,0.1,,,,,,,,,,,,,0,0,0,5,20.545680400000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.13858059999984,19.14455839999937,20.143438299999616,20.1472988000005,20.50857619999988,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
12,0.8,0.1,,,,,,,,,,,,,0,1,1,7,20.545680400000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.50896289999946,20.523609300000317,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
13,-0.8,0.15,,,,,,,,,,,,,0,2,2,0,20.545680400000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52404679999927,20.532306299999618,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
10,-0.5,0.15,,,,,,,,,,,,,0,3,3,3,20.545680400000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.532696399999622,20.533316200000627,908594,001,2024-08-29_12h55.59.019,tarea_iceberg,2023.2.3,60.05454153482149,2024-08-29 12h56.09.595391 +0200,
