timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,key_resp.keys,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,music_words.started,music_words.stopped,key_resp_3.keys,music_video.started,music_video.stopped,Key_resp_4.keys,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,control2.stopped,key_resp_6.keys,music2.started,music2.stopped,key_resp_7.keys,music_words2.started,image_8.started,key_resp_8.started,music_words2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,music_video2.started,music_video2.stopped,Key_resp.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,image_10.started,key_resp_9.started,control3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,music3.started,music3.stopped,key_resp_10.keys,music_words3.started,music_words3.stopped,key_resp_11.keys,music_video3.started,music_video3.stopped,Key_resp_2.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,key_resp_12.keys,music4.started,music4.stopped,key_resp_13.keys,music_words4.started,music_words4.stopped,key_resp_14.keys,music_video4.started,image_17.started,Key_resp_3.started,music_video4.stopped,Key_resp_3.keys,Key_resp_3.rt,Key_resp_3.duration,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031247000442817807,0.021460200077854097,0.021460200077854097,3.0083919999888167,3.008401600061916,3.024895600043237,6.011549700051546,6.963836700073443,space,0.9347581999609247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
15,-0.1,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,6.963865900062956,6.978416200028732,8.964342100080103,9.014161100029014,9.019929200061597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
8,-0.7,0.05,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.02015990007203,9.024676900007762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
12,0,0.05,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.024860100005753,9.030190500081517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
9,0.1,0.05,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.030430900049396,9.035664000082761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
15,-0.4,0.05,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.035870300023817,9.040755100082606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
6,0.6,0.05,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.040939799975604,9.045622700010426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
11,-0.6,0.05,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.045809200033545,9.050512199988589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
14,-0.4,0.05,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,9.050696699996479,9.055087100015953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
15,-0.1,0.05,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.085474400082603,,,,,,,,,,,,,,,,,,,9.0688463000115,24.062017400050536,24.062017400050536,24.394284500041977,space,0.315783700090833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
8,-0.7,0.05,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.428712900029495,,,,,,,,,,,,,,,,,,,24.39527099998668,32.404071300057694,32.404071300057694,32.77805070008617,space,0.36554270004853606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
12,0,0.05,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.79455270001199,,,,,,,,,,,,,,,,,,,32.77849150006659,44.78294940001797,44.78294940001797,45.18613320006989,space,0.3945205999771133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
9,0.1,0.05,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.201651100069284,,,,,,,,,,,,,,,,,,,45.186413799994625,54.19525850005448,54.19525850005448,54.5600892000366,space,0.35937730001751333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
15,-0.4,0.05,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.58342729997821,,,,,,,,,,,,,,,,,,,54.560364600038156,69.57402920001186,69.57402920001186,69.92689470003825,space,0.3481283999281004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
6,0.6,0.05,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94888040004298,,,,,,,,,,,,,,,,,,,69.9272159000393,75.93122969998512,75.93122969998512,76.28454410005361,space,0.33527469995897263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
11,-0.6,0.05,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2996902000159,,,,,,,,,,,,,,,,,,,76.2848150000209,87.29186260001734,87.29186260001734,87.66014990000986,space,0.35712810000404716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
14,-0.4,0.05,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.68386770004872,,,,,,,,,,,,,,,,,,,87.66041410004254,101.67315140005667,101.67315140005667,102.02531420008745,space,0.3364272000035271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
15,-0.1,0.05,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.22090980003122,,,,,,,,,,,,,,,,,,,,,,,,,,102.06261859997176,102.06780409999192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
8,-0.7,0.05,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.22090980003122,,,,,,,,,,,,,,,,,,,,,,,,,,102.06804540008307,102.07277490000706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
12,0,0.05,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.22090980003122,,,,,,,,,,,,,,,,,,,,,,,,,,102.07296800008044,102.0770117000211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
9,0.1,0.05,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.22090980003122,,,,,,,,,,,,,,,,,,,,,,,,,,102.07719460001681,102.08121460000984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David1,30,Hombre,2024-09-18_17h25.51.680,tarea_iceberg,2023.2.3,59.89763494339995,2024-09-18 17h26.31.760479 +0200,
