timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,music.stopped,resp_music_r1.keys,music_words.started,music_words.stopped,resp_musicw_r1.keys,music_video.started,image_4.started,resp_musicv_r1.started,music_video.stopped,resp_musicv_r1.keys,resp_musicv_r1.rt,resp_musicv_r1.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,image_6.started,resp_control_r2.started,control2.stopped,resp_control_r2.keys,resp_control_r2.rt,resp_control_r2.duration,music2.started,music2.stopped,resp_music_r2.keys,music_words2.started,music_words2.stopped,resp_musicw_r2.keys,music_video2.started,music_video2.stopped,resp_musicv_r2.keys,Ronda_3.started,text_9.started,Ronda_3.stopped,control3.started,control3.stopped,resp_control_r3.keys,music3.started,music3.stopped,resp_music_r3.keys,music_words3.started,image_12.started,resp_musicw_r3.started,music_words3.stopped,resp_musicw_r3.keys,resp_musicw_r3.rt,resp_musicw_r3.duration,music_video3.started,music_video3.stopped,resp_musicv_r3.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,resp_control_r4.keys,music4.started,image_15.started,resp_music_r4.started,music4.stopped,resp_music_r4.keys,resp_music_r4.rt,resp_music_r4.duration,music_words4.started,music_words4.stopped,resp_musicw_r4.keys,music_video4.started,music_video4.stopped,resp_musicv_r4.keys,final.started,text_4.started,text_4.stopped,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music_video,control,music_words,music,0.0034904000349342823,0.02905689994804561,0.02905689994804561,3.016728000016883,3.0167377999750897,3.0332906000548974,6.002811299986206,8.690018499968573,space,2.6848683999851346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0.6,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,8.69004210003186,8.705650000018068,10.691711400053464,10.759072000044398,10.765064400038682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
9,0.2,0.05,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,10.765294900047593,10.770043900003657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0,0.05,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,10.770224299980327,10.775089300004765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0.6,0.05,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,10.787739500054158,10.793128999997862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
9,0.2,0.05,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,10.793381899944507,10.798176000011154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0,0.05,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,10.798357299994677,10.803165900055319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0.6,0.05,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,,,,10.833814000012353,10.841069199959747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
9,0.2,0.05,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,,,,10.841308200033382,10.846194799989462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
4,0,0.05,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.907098500058055,,,,,,,,,,,,,,,,,,,,,,,,,,10.846383700030856,10.851259300019592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David,30,Hombre,2024-09-18_17h50.00.489,tarea_iceberg,2023.2.3,59.96458488384676,2024-09-18 17h50.42.429826 +0200,
