timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,control.started,image.started,key_resp.started,control.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text.started,instructions2.stopped,music.started,image_2.started,key_resp_2.started,music.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0019831999961752445,0.004851999998209067,3.010646700000507,3.3275828000041656,space,0.304256900009932,None,,,,,,,,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
10,-0.8,0.15,0,0,0,7,,,,,3.3577679000009084,,,,,,,,,3.3369886000000406,13.351080200009164,13.351080200009164,13.757930699997814,space,0.39432490000035614,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
9,-0.8,0.15,0,1,1,6,,,,,13.787288200008334,,,,,,,,,13.758393399999477,22.7675048999954,22.7675048999954,23.140966599996318,space,0.36361390000092797,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
5,-0.8,0.15,0,2,2,2,,,,,23.157196700005443,,,,,,,,,23.141330800004653,28.14760500000557,28.14760500000557,28.581967699996312,space,0.43042509999941103,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
4,-0.8,0.15,0,3,3,1,,,,,28.599071400007233,,,,,,,,,28.58228689999669,32.598575800002436,32.598575800002436,33.06556400000409,space,0.4494094999972731,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
6,-0.8,0.15,0,4,4,3,,,,,33.08000349999929,,,,,,,,,33.06605039999704,39.07416150000063,39.07416150000063,39.50836780000827,space,0.42695439999806695,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
3,-0.8,0.15,0,5,5,0,,,,,39.525642299995525,,,,,,,,,39.50867900000594,42.52148239999951,42.52148239999951,42.952919999996084,space,0.40410590000101365,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
7,-0.8,0.15,0,6,6,4,,,,,42.970352899996215,,,,,,,,,42.95341020000342,49.96651820000261,49.96651820000261,50.37602379999589,space,0.38954540000122506,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
8,-0.8,0.15,0,7,7,5,,,,,50.38983359999838,,,,,,,,,50.376342600007774,58.378510199996526,58.378510199996526,58.71253689999867,space,0.32108889998926315,None,,,,,,,,,,,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
4,-0.8,0.15,,,,,0,0,0,1,59.87660190000315,,,,,,,,,,,,,,,,58.71277179999743,58.72793510000338,59.72492829999828,59.73680300000706,63.72546709999733,63.72546709999733,64.1063853000087,space,0.3660915000073146,None,david2,001,2024-08-30_09h51.23.588,tarea_iceberg,2023.2.3,60.092903629856615,2024-08-30 09h51.48.493116 +0200,
,,,,,,,,,,,64.12230319999799,,,,,,,,,,,,,,,,,,,64.10692439999548,,,,,,,,,,,,,,
