timepresentation,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_14.thisRepN,trials_14.thisTrialN,trials_14.thisN,trials_14.thisIndex,trials_15.thisRepN,trials_15.thisTrialN,trials_15.thisN,trials_15.thisIndex,trials_16.thisRepN,trials_16.thisTrialN,trials_16.thisN,trials_16.thisIndex,thisRow.t,notes,ronda1,ronda2,ronda3,ronda4,portada.started,image_5.started,text_6.started,portada.stopped,instructions.started,text_5.started,key_resp_5.started,instructions.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,Ronda_1.started,text_7.started,Ronda_1.stopped,control.started,control.stopped,resp_control_r1.keys,music.started,music.stopped,resp_music_r1.keys,music_words.started,music_words.stopped,resp_musicw_r1.keys,music_video.started,image_4.started,resp_musicv_r1.started,music_video.stopped,resp_musicv_r1.keys,resp_musicv_r1.rt,resp_musicv_r1.duration,Ronda_2.started,text_8.started,Ronda_2.stopped,control2.started,image_6.started,resp_control_r2.started,control2.stopped,resp_control_r2.keys,resp_control_r2.rt,resp_control_r2.duration,music2.started,music2.stopped,resp_music_r2.keys,music_words2.started,music_words2.stopped,resp_musicw_r2.keys,music_video2.started,music_video2.stopped,resp_musicv_r2.keys,Ronda_3.started,text_9.started,text_9.stopped,Ronda_3.stopped,control3.started,control3.stopped,resp_control_r3.keys,music3.started,music3.stopped,resp_music_r3.keys,music_words3.started,image_12.started,resp_musicw_r3.started,music_words3.stopped,resp_musicw_r3.keys,resp_musicw_r3.rt,resp_musicw_r3.duration,music_video3.started,music_video3.stopped,resp_musicv_r3.keys,Ronda_4.started,text_10.started,Ronda_4.stopped,control4.started,control4.stopped,resp_control_r4.keys,music4.started,image_15.started,resp_music_r4.started,music4.stopped,resp_music_r4.keys,resp_music_r4.rt,resp_music_r4.duration,music_words4.started,music_words4.stopped,resp_musicw_r4.keys,music_video4.started,music_video4.stopped,resp_musicv_r4.keys,final.started,text_4.started,final.stopped,participant,Edad,Sexo,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,music_video,control,music_words,music,0.11468930006958544,0.22251760005019605,0.22251760005019605,3.0035832999274135,3.0036277000326663,3.019975299946964,6.001943399896845,8.252106399973854,space,2.2438900000415742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,-0.4,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,8.252234800020233,8.282668299973011,10.266262599965557,10.380364699987695,10.400048299925402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.1,0.05,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,10.401053099893034,10.408117899904028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.2,0.05,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,10.408464400097728,10.417274199891835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,-0.4,0.05,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,10.435688799945638,10.443533000070602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.1,0.05,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,10.443880500039086,10.45156620000489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.2,0.05,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,10.451872299890965,10.45991239999421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
9,-0.4,0.05,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,,,,10.501990200020373,10.532180800102651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.1,0.05,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,,,,10.532554700039327,10.540035699959844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
11,0.2,0.05,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.668703299947083,,,,,,,,,,,,,,,,,,,,,,,,,,10.54031000006944,10.547235100064427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davids,31,Hombre,2025-05-06_09h28.23.563,tarea_iceberg,2023.2.3,59.59848501578952,2025-05-06 09h29.16.877689 +0200,
