maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,background_3.stopped,feedbacktxt.stopped,bankedTxt_2.stopped,balloonValTxt_2.stopped,reminder_2.stopped,trialcount_2.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
2,0,0,0,0,,,,,2.236093899991829,,0.01683999999659136,0.038238000008277595,0.038238000008277595,0.038238000008277595,0.03329196998965926,1.3034951000008732,1.3115007000160404,1.3117951999884099,2.22214269998949,2.236093899991829,2.236093899991829,2.236093899991829,2.236093899991829,2.236093899991829,2.236093899991829,2.236093899991829,2.554134599980898,1,0.13,0.0,True,2.554347899975255,2.579349900013767,2.579349900013767,2.579349900013767,2.579349900013767,2.579349900013767,2.579349900013767,4.072829100012314,,,,,,,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
7,0,1,1,5,,,,,5.919419099984225,,,,,,,,4.073032399988733,4.073350000020582,5.904794399975799,5.919419099984225,5.919419099984225,5.919419099984225,5.919419099984225,5.919419099984225,5.919419099984225,5.919419099984225,6.2717990999808535,6,0.20500000000000002,0.0,True,6.2720096000120975,6.285149600007571,6.285149600007571,6.285149600007571,6.285149600007571,6.285149600007571,6.285149600007571,7.770247499982361,7.785215599986259,7.785215599986259,7.785215599986259,7.785215599986259,7.785215599986259,7.785215599986259,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
8,0,2,2,6,,,,,9.885457099997438,,,,,,,,7.770422599976882,7.770772800024133,9.871077799994964,9.885457099997438,9.885457099997438,9.885457099997438,9.885457099997438,9.885457099997438,9.885457099997438,9.885457099997438,10.153793299978133,7,0.22,0.0,True,10.15400600002613,10.168421300011687,10.168421300011687,10.168421300011687,10.168421300011687,10.168421300011687,10.168421300011687,11.653824499982875,11.669371100026183,11.669371100026183,11.669371100026183,11.669371100026183,11.669371100026183,11.669371100026183,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
20,0,3,3,18,,,,,15.06990639999276,,,,,,,,11.65397360001225,11.654413299984299,15.054185700020753,15.06990639999276,15.06990639999276,15.06990639999276,15.06990639999276,15.06990639999276,15.06990639999276,15.06990639999276,16.970908000017516,14,0.32499999999999996,0.7000000000000001,False,16.97117099998286,16.987007100018673,16.987007100018673,16.987007100018673,16.987007100018673,16.987007100018673,16.987007100018673,18.485212599975057,,,,,,,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
9,0,4,4,7,,,,,20.21820800000569,,,,,,,,18.485431500012055,18.486096600012388,20.204546199995093,20.21820800000569,20.21820800000569,20.21820800000569,20.21820800000569,20.21820800000569,20.21820800000569,20.21820800000569,20.404559199989308,8,0.23500000000000001,0.0,True,20.404800500022247,20.418411099992227,20.418411099992227,20.418411099992227,20.418411099992227,20.418411099992227,20.418411099992227,21.904079800006002,21.91851809999207,21.91851809999207,21.91851809999207,21.91851809999207,21.91851809999207,21.91851809999207,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
13,0,5,5,11,,,,,24.618420200014953,,,,,,,,21.904246299993247,21.90472220000811,24.60417210002197,24.618420200014953,24.618420200014953,24.618420200014953,24.618420200014953,24.618420200014953,24.618420200014953,24.618420200014953,25.537148999981582,12,0.29500000000000004,0.0,True,25.537345800024923,25.551991800020915,25.551991800020915,25.551991800020915,25.551991800020915,25.551991800020915,25.551991800020915,27.037013199995272,27.05182450002758,27.05182450002758,27.05182450002758,27.05182450002758,27.05182450002758,27.05182450002758,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
11,0,6,6,9,,,,,29.65237550000893,,,,,,,,27.037171199976,27.037577699986286,29.637823799974285,29.65237550000893,29.65237550000893,29.65237550000893,29.65237550000893,29.65237550000893,29.65237550000893,29.65237550000893,29.9044445999898,10,0.265,0.0,True,29.904659599997103,29.91847009997582,29.91847009997582,29.91847009997582,29.91847009997582,29.91847009997582,29.91847009997582,31.40400669997325,31.41919310000958,31.41919310000958,31.41919310000958,31.41919310000958,31.41919310000958,31.41919310000958,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
5,0,7,7,3,,,,,33.068506699986756,,,,,,,,31.40417150000576,31.404441000020597,33.0547346000094,33.068506699986756,33.068506699986756,33.068506699986756,33.068506699986756,33.068506699986756,33.068506699986756,33.068506699986756,33.321025800018106,4,0.175,0.0,True,33.32121790002566,33.33505350002088,33.33505350002088,33.33505350002088,33.33505350002088,33.33505350002088,33.33505350002088,34.8197300999891,34.83633389999159,34.83633389999159,34.83633389999159,34.83633389999159,34.83633389999159,34.83633389999159,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
6,0,8,8,4,,,,,36.48531710001407,,,,,,,,34.81990619999124,34.820131100015715,36.47119449998718,36.48531710001407,36.48531710001407,36.48531710001407,36.48531710001407,36.48531710001407,36.48531710001407,36.48531710001407,36.73745140002575,5,0.19,0.0,True,36.73766819998855,36.75177390000317,36.75177390000317,36.75177390000317,36.75177390000317,36.75177390000317,36.75177390000317,38.23722559999442,38.251232200011145,38.251232200011145,38.251232200011145,38.251232200011145,38.251232200011145,38.251232200011145,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
14,0,9,9,12,,,,,41.668801599997096,,,,,,,,38.23739419999765,38.23788400000194,41.65432510001119,41.668801599997096,41.668801599997096,41.668801599997096,41.668801599997096,41.668801599997096,41.668801599997096,41.668801599997096,41.90451610001037,13,0.31,0.0,True,41.90478450001683,41.91852230002405,41.91852230002405,41.91852230002405,41.91852230002405,41.91852230002405,41.91852230002405,43.40373110002838,43.418649600003846,43.418649600003846,43.418649600003846,43.418649600003846,43.418649600003846,43.418649600003846,,,,,David,30,2024-02-04_12h00.54.881,bart,2023.2.3,59.92423179642026,2024-02-04 12h01.04.790940 +0100,
