maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,background_3.stopped,feedbacktxt.stopped,bankedTxt_2.stopped,balloonValTxt_2.stopped,reminder_2.stopped,trialcount_2.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
2,0,0,0,0,,,,,12.386141500028316,,0.016618900001049042,0.033711900003254414,0.033711900003254414,0.033711900003254414,0.0329357800015714,2.0200286000035703,2.0249967999989167,2.025393799995072,12.371625000028871,12.386141500028316,12.386141500028316,12.386141500028316,12.386141500028316,12.386141500028316,12.386141500028316,12.386141500028316,13.104184499999974,1,0.13,0.0,True,13.104392100009136,13.138163800002076,13.138163800002076,13.138163800002076,13.138163800002076,13.138163800002076,13.138163800002076,14.618969600007404,,,,,,,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
7,0,1,1,5,,,,,20.035106500028633,,,,,,,,14.619198300002608,14.619709699996747,20.020899199997075,20.035106500028633,20.035106500028633,20.035106500028633,20.035106500028633,20.035106500028633,20.035106500028633,20.035106500028633,21.387979799997993,3,0.16,0.15000000000000002,False,21.38823380001122,21.408518700045533,21.408518700045533,21.408518700045533,21.408518700045533,21.408518700045533,21.408518700045533,22.90178090002155,,,,,,,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
8,0,2,2,6,,,,,26.2851934999926,,,,,,,,22.902052299992647,22.90269570000237,26.271434299997054,26.2851934999926,26.2851934999926,26.2851934999926,26.2851934999926,26.2851934999926,26.2851934999926,26.2851934999926,28.120796600007452,4,0.175,0.2,False,28.12103440001374,28.13592020003125,28.13592020003125,28.13592020003125,28.13592020003125,28.13592020003125,28.13592020003125,29.620221599994693,29.636251399992034,29.636251399992034,29.636251399992034,29.636251399992034,29.636251399992034,29.636251399992034,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
20,0,3,3,18,,,,,37.768549900036305,,,,,,,,29.620453500014264,29.62076150003122,37.75439529999858,37.768549900036305,37.768549900036305,37.768549900036305,37.768549900036305,37.768549900036305,37.768549900036305,37.768549900036305,38.8378389000427,7,0.22,0.35000000000000003,False,38.8380301000434,38.85676120000426,38.85676120000426,38.85676120000426,38.85676120000426,38.85676120000426,38.85676120000426,40.35198350000428,,,,,,,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
9,0,4,4,7,,,,,49.43517420004355,,,,,,,,40.352300200029276,40.35293230001116,49.42102050001267,49.43517420004355,49.43517420004355,49.43517420004355,49.43517420004355,49.43517420004355,49.43517420004355,49.43517420004355,50.38691790000303,8,0.23500000000000001,0.0,True,50.38712620001752,50.40195060003316,50.40195060003316,50.40195060003316,50.40195060003316,50.40195060003316,50.40195060003316,51.886551600007806,51.90250870003365,51.90250870003365,51.90250870003365,51.90250870003365,51.90250870003365,51.90250870003365,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
13,0,5,5,11,,,,,56.468459800002165,,,,,,,,51.88670140004251,51.88712990004569,56.45444990001852,56.468459800002165,56.468459800002165,56.468459800002165,56.468459800002165,56.468459800002165,56.468459800002165,56.468459800002165,56.820566200010944,7,0.22,0.35000000000000003,False,56.820765000011306,56.83491600002162,56.83491600002162,56.83491600002162,56.83491600002162,56.83491600002162,56.83491600002162,58.32009350002045,58.335176300024614,58.335176300024614,58.335176300024614,58.335176300024614,58.335176300024614,58.335176300024614,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
11,0,6,6,9,,,,,60.13503740000306,,,,,,,,58.320321700011846,58.32078970002476,60.120656400045846,60.13503740000306,60.13503740000306,60.13503740000306,60.13503740000306,60.13503740000306,60.13503740000306,60.13503740000306,60.986593700014055,7,0.22,0.35000000000000003,False,60.986791000002995,61.00100119999843,61.00100119999843,61.00100119999843,61.00100119999843,61.00100119999843,61.00100119999843,62.486470000003465,62.502953200018965,62.502953200018965,62.502953200018965,62.502953200018965,62.502953200018965,62.502953200018965,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
5,0,7,7,3,,,,,63.75181450002128,,,,,,,,62.48662030004198,62.48696010001004,63.73765750002349,63.75181450002128,63.75181450002128,63.75181450002128,63.75181450002128,63.75181450002128,63.75181450002128,63.75181450002128,63.90363559999969,4,0.175,0.0,True,63.90382710000267,63.91849660000298,63.91849660000298,63.91849660000298,63.91849660000298,63.91849660000298,63.91849660000298,65.40340850001667,65.41946689999895,65.41946689999895,65.41946689999895,65.41946689999895,65.41946689999895,65.41946689999895,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
6,0,8,8,4,,,,,67.38544990000082,,,,,,,,65.40357670001686,65.4039753000252,67.37130420003086,67.38544990000082,67.38544990000082,67.38544990000082,67.38544990000082,67.38544990000082,67.38544990000082,67.38544990000082,67.70440839999355,5,0.19,0.0,True,67.70463759999257,67.71827310003573,67.71827310003573,67.71827310003573,67.71827310003573,67.71827310003573,67.71827310003573,69.20337220001966,69.21846740000183,69.21846740000183,69.21846740000183,69.21846740000183,69.21846740000183,69.21846740000183,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
14,0,9,9,12,,,,,70.38521590002347,,,,,,,,69.20361180003965,69.20391380001092,70.37116460001562,70.38521590002347,70.38521590002347,70.38521590002347,70.38521590002347,70.38521590002347,70.38521590002347,70.38521590002347,70.80376550002256,3,0.16,0.15000000000000002,False,70.80399919999763,70.81845930003328,70.81845930003328,70.81845930003328,70.81845930003328,70.81845930003328,70.81845930003328,72.30360530002508,72.31867569999304,72.31867569999304,72.31867569999304,72.31867569999304,72.31867569999304,72.31867569999304,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
15,0,10,10,13,,,,,74.13520100002643,,,,,,,,72.30381000001216,72.30410180002218,74.12075940001523,74.13520100002643,74.13520100002643,74.13520100002643,74.13520100002643,74.13520100002643,74.13520100002643,74.13520100002643,74.9878541000071,4,0.175,0.2,False,74.98807850002777,75.0016543000238,75.0016543000238,75.0016543000238,75.0016543000238,75.0016543000238,75.0016543000238,76.48682910000207,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
4,0,11,11,2,,,,,76.50171850004699,,,,,,,,76.48700930003542,76.48734490002971,76.48765200003982,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.50171850004699,76.75384590000613,0,0.115,0.0,False,76.7540858000284,76.76833300001454,76.76833300001454,76.76833300001454,76.76833300001454,76.76833300001454,76.76833300001454,78.25324380001985,78.26838449999923,78.26838449999923,78.26838449999923,78.26838449999923,78.26838449999923,78.26838449999923,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
17,0,12,12,15,,,,,80.7849040000001,,,,,,,,78.25340960000176,78.2538976999931,80.77040939999279,80.7849040000001,80.7849040000001,80.7849040000001,80.7849040000001,80.7849040000001,80.7849040000001,80.7849040000001,81.23827730002813,5,0.19,0.25,False,81.23854170000413,81.25180700002238,81.25180700002238,81.25180700002238,81.25180700002238,81.25180700002238,81.25180700002238,82.7368787000305,82.7518217000179,82.7518217000179,82.7518217000179,82.7518217000179,82.7518217000179,82.7518217000179,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
19,0,13,13,17,,,,,87.5854770000442,,,,,,,,82.73711300001014,82.73741450003581,87.57190830004402,87.5854770000442,87.5854770000442,87.5854770000442,87.5854770000442,87.5854770000442,87.5854770000442,87.5854770000442,88.03738590003923,7,0.22,0.35000000000000003,False,88.03762290003942,88.05165670003043,88.05165670003043,88.05165670003043,88.05165670003043,88.05165670003043,88.05165670003043,89.53726990002906,89.55176780000329,89.55176780000329,89.55176780000329,89.55176780000329,89.55176780000329,89.55176780000329,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
10,0,14,14,8,,,,,95.18512550002197,,,,,,,,89.53746170003433,89.53780779999215,95.17112250003265,95.18512550002197,95.18512550002197,95.18512550002197,95.18512550002197,95.18512550002197,95.18512550002197,95.18512550002197,96.22043220000342,7,0.22,0.35000000000000003,False,96.22063470003195,96.23523330001626,96.23523330001626,96.23523330001626,96.23523330001626,96.23523330001626,96.23523330001626,97.72007450001547,97.73517070000526,97.73517070000526,97.73517070000526,97.73517070000526,97.73517070000526,97.73517070000526,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
3,0,15,15,1,,,,,98.60160530003486,,,,,,,,97.72024709999096,97.72077290003654,98.58769420004683,98.60160530003486,98.60160530003486,98.60160530003486,98.60160530003486,98.60160530003486,98.60160530003486,98.60160530003486,98.97043010004563,2,0.14500000000000002,0.0,True,98.97068640001817,98.98495140002342,98.98495140002342,98.98495140002342,98.98495140002342,98.98495140002342,98.98495140002342,100.47022230003495,100.4851384999929,100.4851384999929,100.4851384999929,100.4851384999929,100.4851384999929,100.4851384999929,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
12,0,16,16,10,,,,,103.20203839999158,,,,,,,,100.47039140004199,100.47073770000134,103.18810389999999,103.20203839999158,103.20203839999158,103.20203839999158,103.20203839999158,103.20203839999158,103.20203839999158,103.20203839999158,103.55413730000146,4,0.175,0.2,False,103.5543425999931,103.56820690003224,103.56820690003224,103.56820690003224,103.56820690003224,103.56820690003224,103.56820690003224,105.05245880002622,105.06833999999799,105.06833999999799,105.06833999999799,105.06833999999799,105.06833999999799,105.06833999999799,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
16,0,17,17,14,,,,,108.51853040000424,,,,,,,,105.05267649999587,105.0529732000432,108.50401319999946,108.51853040000424,108.51853040000424,108.51853040000424,108.51853040000424,108.51853040000424,108.51853040000424,108.51853040000424,109.22025920002488,6,0.20500000000000002,0.30000000000000004,False,109.22048250003718,109.23510240000905,109.23510240000905,109.23510240000905,109.23510240000905,109.23510240000905,109.23510240000905,110.72126060002483,110.73502399999416,110.73502399999416,110.73502399999416,110.73502399999416,110.73502399999416,110.73502399999416,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
18,0,18,18,16,,,,,114.76827120000962,,,,,,,,110.72144719999051,110.72195080004167,114.75438649998978,114.76827120000962,114.76827120000962,114.76827120000962,114.76827120000962,114.76827120000962,114.76827120000962,114.76827120000962,116.18714819999877,5,0.19,0.25,False,116.18736530002207,116.20147600001656,116.20147600001656,116.20147600001656,116.20147600001656,116.20147600001656,116.20147600001656,117.68667419999838,117.70125050004572,117.70125050004572,117.70125050004572,117.70125050004572,117.70125050004572,117.70125050004572,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
21,0,19,19,19,,,,,124.21862440003315,,,,,,,,117.68684939999366,117.68711300002178,124.20413389999885,124.21862440003315,124.21862440003315,124.21862440003315,124.21862440003315,124.21862440003315,124.21862440003315,124.21862440003315,124.47048060002271,6,0.20500000000000002,0.30000000000000004,False,124.47066940000514,124.4849261000054,124.4849261000054,124.4849261000054,124.4849261000054,124.4849261000054,124.4849261000054,125.97008769999957,126.01635089999763,126.01635089999763,126.01635089999763,126.01635089999763,126.01635089999763,126.01635089999763,,,,,Ester,31,2024-02-03_13h19.07.237,bart,2023.2.3,59.93931744047256,2024-02-03 13h19.17.219681 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.99289080000017,126.01635089999763,126.01635089999763,126.01635089999763,,,,,,,,
