maxPumps,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,thisRow.t,notes,instructions.started,background.started,resp.started,instrtxt.started,pop_sound.started,instructions.stopped,reset_balloon.started,reset_balloon.stopped,trial.started,background_2.started,bankButton.started,reminder.started,balloonValTxt.started,bankedTxt.started,balloonBody.started,trialcount.started,trial.stopped,nPumps,size,earnings,popped,feedback.started,background_3.started,feedbacktxt.started,bankedTxt_2.started,balloonValTxt_2.started,reminder_2.started,trialcount_2.started,feedback.stopped,background_3.stopped,feedbacktxt.stopped,bankedTxt_2.stopped,balloonValTxt_2.stopped,reminder_2.stopped,trialcount_2.stopped,finalScore.started,background_4.started,scoremsg.started,scoremsg_2.started,participant,age,date,expName,psychopyVersion,frameRate,expStart,
2,0,0,0,0,,,,,2.119763499998953,,0.017286399961449206,0.04586129996459931,0.04586129996459931,0.04586129996459931,0.033714489993872124,0.5540588999865577,0.5600474000093527,0.5604978000046685,2.1046652999939397,2.119763499998953,2.119763499998953,2.119763499998953,2.119763499998953,2.119763499998953,2.119763499998953,2.119763499998953,2.4702000999823213,1,0.13,0.0,True,2.47043649997795,2.5139808999956585,2.5139808999956585,2.5139808999956585,2.5139808999956585,2.5139808999956585,2.5139808999956585,3.98383310000645,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
7,0,1,1,5,,,,,5.21620119997533,,,,,,,,3.984090299985837,3.9844202999956906,5.2032897999743,5.21620119997533,5.21620119997533,5.21620119997533,5.21620119997533,5.21620119997533,5.21620119997533,5.21620119997533,6.002337699988857,2,0.14500000000000002,0.1,False,6.0025678999954835,6.02420359995449,6.02420359995449,6.02420359995449,6.02420359995449,6.02420359995449,6.02420359995449,7.514965299982578,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
8,0,2,2,6,,,,,8.830733399954624,,,,,,,,7.515314699965529,7.5158089000033215,8.816436099994462,8.830733399954624,8.830733399954624,8.830733399954624,8.830733399954624,8.830733399954624,8.830733399954624,8.830733399954624,9.45038029999705,5,0.19,0.25,False,9.45061189995613,9.470014399965294,9.470014399965294,9.470014399965294,9.470014399965294,9.470014399965294,9.470014399965294,10.96327199996449,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
20,0,3,3,18,,,,,18.363949899969157,,,,,,,,10.963675100007094,10.964336499979254,18.34508649999043,18.363949899969157,18.363949899969157,18.363949899969157,18.363949899969157,18.363949899969157,18.363949899969157,18.363949899969157,19.076968699984718,12,0.29500000000000004,0.6000000000000001,False,19.077195499965455,19.095690999994986,19.095690999994986,19.095690999994986,19.095690999994986,19.095690999994986,19.095690999994986,20.590393299993593,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
9,0,4,4,7,,,,,26.536222299968358,,,,,,,,20.590725599962752,20.59142139996402,26.522752699966077,26.536222299968358,26.536222299968358,26.536222299968358,26.536222299968358,26.536222299968358,26.536222299968358,26.536222299968358,27.20529189996887,8,0.23500000000000001,0.0,True,27.205521899973974,27.219342699972913,27.219342699972913,27.219342699972913,27.219342699972913,27.219342699972913,27.219342699972913,28.71816220000619,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
13,0,5,5,11,,,,,29.917316199978814,,,,,,,,28.718369799957145,28.718809899990447,29.903060099983122,29.917316199978814,29.917316199978814,29.917316199978814,29.917316199978814,29.917316199978814,29.917316199978814,29.917316199978814,30.171269399987068,5,0.19,0.25,False,30.171500199998263,30.18389029998798,30.18389029998798,30.18389029998798,30.18389029998798,30.18389029998798,30.18389029998798,31.668783899978735,31.686040000000503,31.686040000000503,31.686040000000503,31.686040000000503,31.686040000000503,31.686040000000503,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
11,0,6,6,9,,,,,32.26581670000451,,,,,,,,31.66896729997825,31.669575699954294,32.25247859995579,32.26581670000451,32.26581670000451,32.26581670000451,32.26581670000451,32.26581670000451,32.26581670000451,32.26581670000451,33.25173369998811,1,0.13,0.05,False,33.25197079998907,33.265381500008516,33.265381500008516,33.265381500008516,33.265381500008516,33.265381500008516,33.265381500008516,34.76429839996854,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
5,0,7,7,3,,,,,36.09687179996399,,,,,,,,34.764529999985825,34.7650306999567,36.083680999989156,36.09687179996399,36.09687179996399,36.09687179996399,36.09687179996399,36.09687179996399,36.09687179996399,36.09687179996399,36.49972919997526,3,0.16,0.15000000000000002,False,36.50002300000051,36.513335199968424,36.513335199968424,36.513335199968424,36.513335199968424,36.513335199968424,36.513335199968424,38.01233679999132,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
6,0,8,8,4,,,,,39.59454399999231,,,,,,,,38.01257739996072,38.012985299981665,39.58137029997306,39.59454399999231,39.59454399999231,39.59454399999231,39.59454399999231,39.59454399999231,39.59454399999231,39.59454399999231,39.8138331999653,5,0.19,0.0,True,39.81404979998479,39.828875400009565,39.828875400009565,39.828875400009565,39.828875400009565,39.828875400009565,39.828875400009565,41.32729699998163,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
14,0,9,9,12,,,,,42.0295423999778,,,,,,,,41.32751360000111,41.32817230001092,42.01340399996843,42.0295423999778,42.0295423999778,42.0295423999778,42.0295423999778,42.0295423999778,42.0295423999778,42.0295423999778,42.54673780000303,3,0.16,0.15000000000000002,False,42.54697520000627,42.55959399999119,42.55959399999119,42.55959399999119,42.55959399999119,42.55959399999119,42.55959399999119,44.05918159999419,,,,,,,,,,,dave,31,2024-02-04_20h04.27.068,bart,2023.2.3,59.92441136490518,2024-02-04 20h04.40.422109 +0100,
