instructions.started,instructions.stopped,participant,age,date,expName,psychopyVersion,OS,frameRate,reset_balloon.started,reset_balloon.stopped,trial.started,trial.stopped,nPumps,size,earnings,popped,pump.thisRepN,pump.thisTrialN,pump.thisN,pump.thisIndex,pump.ran,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,maxPumps,finalScore.started
0.0002,4.2228,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,4.2367,4.2369,6.2599,7.1084,6,0.205,0,TRUE,6,0,6,0,1,,,,,,,,,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,7.1087,8.5575,0,0,0,5,1,7,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,8.5577,8.5577,9.1764,9.8422,2,0.145,0.1,FALSE,2,0,2,0,1,,,,,,,,,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,9.8424,11.3348,0,1,1,9,1,11,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,11.3351,11.3351,11.7861,12.5158,1,0.13,0.05,FALSE,1,0,1,0,1,,,,,,,,,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,12.5158,13.9967,0,2,2,2,1,4,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,13.997,13.997,14.5989,14.7429,1,0.13,0,TRUE,,,,,,14.743,16.189,0,3,3,0,1,2,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,16.1891,16.1891,17.4786,18.3917,4,0.175,0.2,FALSE,4,0,4,0,1,,,,,,,,,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,18.3918,19.9193,0,4,4,15,1,17,
,,david,25,2024-02-04_13h03.00.924,bart,2023.2.3,Win32,60.24096386,19.9194,19.9195,22.0813,22.8241,6,0.205,0.3,FALSE,6,0,6,0,1,,,,,,,,,
